Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1537504394283,862429378758028,-1.0130768,4.467926,8.467911
android.sensor.accelerometer,1537504394298,862429399021700,-1.0525818,4.436798,8.392487
android.sensor.accelerometer,1537504394318,862429419285372,-1.0453949,4.476303,8.417633
android.sensor.accelerometer,1537504394341,862429439549044,-0.97476196,4.5493317,8.514603
android.sensor.accelerometer,1537504394360,862429459812716,-0.85624695,4.5684814,8.624725
android.sensor.accelerometer,1537504394381,862429480106905,-0.75808716,4.578064,8.508606
android.sensor.accelerometer,1537504394402,862429500401095,-0.80836487,4.5517273,8.397278
android.sensor.accelerometer,1537504394422,862429520664767,-0.835907,4.4691315,8.497833
android.sensor.accelerometer,1537504394443,862429540928439,-0.8430786,4.455963,8.5421295
android.sensor.accelerometer,1537504394462,862429561192110,-0.79400635,4.5337677,8.421219
android.sensor.accelerometer,1537504394483,862429581486300,-0.7269592,4.537369,8.440369
android.sensor.accelerometer,1537504394503,862429601749972,-0.7700653,4.487091,8.460724
android.sensor.accelerometer,1537504394524,862429622013644,-0.85624695,4.46434,8.405655
android.sensor.accelerometer,1537504394544,862429642277315,-0.835907,4.4810944,8.414032
android.sensor.accelerometer,1537504394564,862429662540987,-0.8538513,4.4380035,8.558884
android.sensor.accelerometer,1537504394585,862429682835177,-0.77604675,4.4296265,8.618744
android.sensor.accelerometer,1537504394604,862429703098849,-0.7676697,4.4858856,8.44397
android.sensor.accelerometer,1537504394625,862429723362521,-0.80477905,4.4535675,8.333832
android.sensor.accelerometer,1537504394646,862429743626192,-0.82392883,4.4547577,8.381714
android.sensor.accelerometer,1537504394666,862429763920382,-0.82632446,4.507431,8.385315
android.sensor.accelerometer,1537504394686,862429784214571,-0.7987976,4.5481415,8.2500305
android.sensor.accelerometer,1537504394707,862429804478243,-0.801178,4.5242004,8.239258
android.sensor.accelerometer,1537504394727,862429824741915,-0.8466797,4.5205994,8.417633
android.sensor.accelerometer,1537504394747,862429845005587,-0.8311157,4.5409546,8.448761
android.sensor.accelerometer,1537504394767,862429865269259,-0.93525696,4.521805,8.320663
android.sensor.accelerometer,1537504394788,862429885563448,-1.0406036,4.531372,8.452347
android.sensor.accelerometer,1537504394807,862429905857638,-1.0298309,4.5325775,8.609161
android.sensor.accelerometer,1537504394829,862429926090792,-1.0669403,4.5625,8.52417
android.sensor.accelerometer,1537504394849,862429946354464,-1.1399689,4.5361633,8.4272
android.sensor.accelerometer,1537504394868,862429966648653,-1.1651001,4.546936,8.373337
android.sensor.accelerometer,1537504394889,862429986912325,-1.0801086,4.609192,8.448761
android.sensor.accelerometer,1537504394908,862430007175997,-1.0358124,4.5672913,8.392487
android.sensor.accelerometer,1537504394929,862430027439669,-1.1148224,4.546936,8.439178
android.sensor.accelerometer,1537504394950,862430047733858,-1.0765228,4.5050354,8.352982
android.sensor.accelerometer,1537504394970,862430067997530,-1.0573578,4.5409546,8.20694
android.sensor.accelerometer,1537504394990,862430088291720,-1.0513763,4.5637054,8.132721
android.sensor.accelerometer,1537504395011,862430108555392,-1.1100311,4.609192,8.172226
android.sensor.accelerometer,1537504395030,862430128819064,-1.0058899,4.6319275,8.330246
android.sensor.accelerometer,1537504395051,862430149082735,-0.94963074,4.6319275,8.258423
android.sensor.accelerometer,1537504395071,862430169376925,-1.0729218,4.602005,8.215317
android.sensor.accelerometer,1537504395090,862430189640597,-1.1363678,4.506241,8.339813
android.sensor.accelerometer,1537504395112,862430209904269,-1.1231995,4.558914,8.518188
android.sensor.accelerometer,1537504395132,862430230167940,-1.077713,4.634323,8.58522
android.sensor.accelerometer,1537504395153,862430250431612,-1.1603088,4.6199646,8.491852
android.sensor.accelerometer,1537504395172,862430270695284,-1.2465057,4.5960236,8.442764
android.sensor.accelerometer,1537504395192,862430290989474,-1.2333374,4.5756683,8.428406
android.sensor.accelerometer,1537504395213,862430311253146,-1.172287,4.56131,8.3446045
android.sensor.accelerometer,1537504395234,862430331547335,-1.1315765,4.5840454,8.256027
android.sensor.accelerometer,1537504395253,862430351811007,-1.0549622,4.621155,8.240463
android.sensor.accelerometer,1537504395274,862430372105196,-1.0681305,4.554123,8.196167
android.sensor.accelerometer,1537504395294,862430392368868,-1.1279907,4.5014496,8.252426
android.sensor.accelerometer,1537504395315,862430412632540,-1.0453949,4.5242004,8.311096
android.sensor.accelerometer,1537504395335,862430432896212,-1.0178528,4.56131,8.405655
android.sensor.accelerometer,1537504395355,862430453159884,-1.1291962,4.4894714,8.299118
android.sensor.accelerometer,1537504395376,862430473454073,-1.1854553,4.476303,8.317078
android.sensor.accelerometer,1537504395396,862430493717745,-1.0801086,4.503845,8.336227
android.sensor.accelerometer,1537504395416,862430513981417,-1.0310211,4.5529175,8.329041
android.sensor.accelerometer,1537504395435,862430534245089,-0.99391174,4.5086365,8.311096
android.sensor.accelerometer,1537504395456,862430554508761,-1.053772,4.531372,8.32785
android.sensor.accelerometer,1537504395477,862430574802950,-1.0525818,4.4846954,8.319473
android.sensor.accelerometer,1537504395497,862430595066622,-1.0561676,4.5098267,8.290741
android.sensor.accelerometer,1537504395519,862430615360812,-1.0034943,4.5648956,8.296722
android.sensor.accelerometer,1537504395537,862430635624483,-0.9795532,4.586441,8.32785
android.sensor.accelerometer,1537504395557,862430655888155,-1.0082855,4.546936,8.422424
android.sensor.accelerometer,1537504395578,862430676182345,-1.0358124,4.5170135,8.562485
android.sensor.accelerometer,1537504395599,862430696446017,-0.9759674,4.537369,8.560089
android.sensor.accelerometer,1537504395618,862430716709689,-0.99990845,4.542145,8.405655
android.sensor.accelerometer,1537504395639,862430736973360,-1.0418091,4.5134125,8.335037
android.sensor.accelerometer,1537504395659,862430757237032,-1.0633545,4.545746,8.358978
android.sensor.accelerometer,1537504395680,862430777531222,-0.998703,4.5924225,8.350586
android.sensor.accelerometer,1537504395698,862430797794894,-1.0920868,4.5577087,8.342209
android.sensor.accelerometer,1537504395720,862430818058565,-1.1746826,4.5529175,8.479874
android.sensor.accelerometer,1537504395739,862430838322237,-1.148346,4.5253906,8.615158
android.sensor.accelerometer,1537504395760,862430858585909,-1.101654,4.5014496,8.54332
android.sensor.accelerometer,1537504395782,862430878880099,-1.0429993,4.550537,8.355377
android.sensor.accelerometer,1537504395801,862430899174288,-1.0561676,4.5672913,8.269196
android.sensor.accelerometer,1537504395821,862430919437960,-1.1363678,4.487091,8.288345
android.sensor.accelerometer,1537504395842,862430939701632,-1.141159,4.4487762,8.381714
android.sensor.accelerometer,1537504395861,862430959965304,-1.1255951,4.435608,8.528961
android.sensor.accelerometer,1537504395883,862430980228976,-1.101654,4.4703217,8.500229
android.sensor.accelerometer,1537504395902,862431000523165,-1.1255951,4.487091,8.330246
android.sensor.accelerometer,1537504395923,862431020786837,-1.0908813,4.4487762,8.2668
android.sensor.accelerometer,1537504395946,862431041050509,-1.1339722,4.427231,8.392487
android.sensor.accelerometer,1537504395963,862431061344698,-1.1315765,4.3757477,8.578049
android.sensor.accelerometer,1537504395982,862431081608370,-1.093277,4.392517,8.534943
android.sensor.accelerometer,1537504396003,862431101872042,-1.117218,4.4380035,8.404465
android.sensor.accelerometer,1537504396024,862431122135714,-1.1220093,4.435608,8.40686
android.sensor.accelerometer,1537504396044,862431142399386,-1.0190582,4.503845,8.552902
android.sensor.accelerometer,1537504396065,862431162693575,-1.187851,4.423645,7.883728
android.sensor.accelerometer,1537504396085,862431182957247,-1.4990997,4.3829346,7.7149353
android.sensor.accelerometer,1537504396104,862431203251437,-1.0908813,4.4332123,8.645081
android.sensor.accelerometer,1537504396124,862431223515108,-0.9951172,4.4140625,8.924011
android.sensor.accelerometer,1537504396144,862431243778780,-1.1674957,4.353012,8.752823
android.sensor.accelerometer,1537504396166,862431264072970,-1.2728424,4.3829346,8.54332
