Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1537504421844,862456920977823,-0.09666443,-0.0140686035,0.44709778
android.sensor.gyroscope,1537504421853,862456941272013,-0.099853516,0.0019226074,0.43858337
android.sensor.gyroscope,1537504421868,862456961566202,-0.097717285,-0.0066070557,0.41088867
android.sensor.gyroscope,1537504421889,862456981829874,-0.07322693,-0.0066070557,0.34483337
android.sensor.gyroscope,1537504421910,862457002093546,-0.01676941,0.007247925,0.28198242
android.sensor.gyroscope,1537504421930,862457022357218,0.026916504,-0.01939392,0.21487427
android.sensor.gyroscope,1537504421951,862457042651407,0.013061523,-0.056671143,0.16053772
android.sensor.gyroscope,1537504421972,862457062915079,-0.045532227,-0.047088623,0.21380615
android.sensor.gyroscope,1537504421993,862457083178751,-0.0710907,-0.016189575,0.355484
android.sensor.gyroscope,1537504422014,862457103442423,-0.009307861,-0.013000488,0.47053528
android.sensor.gyroscope,1537504422033,862457123706095,0.11746216,-0.07904053,0.54296875
android.sensor.gyroscope,1537504422053,862457144000284,0.2303772,-0.20581055,0.61221313
android.sensor.gyroscope,1537504422074,862457164263956,0.28897095,-0.33151245,0.66122437
android.sensor.gyroscope,1537504422095,862457184527628,0.27192688,-0.3975525,0.65908813
android.sensor.gyroscope,1537504422114,862457204791300,0.1984253,-0.4721222,0.6218109
android.sensor.gyroscope,1537504422135,862457225085490,0.09616089,-0.5573425,0.5546875
android.sensor.gyroscope,1537504422154,862457245379679,-0.022094727,-0.56799316,0.46946716
android.sensor.gyroscope,1537504422175,862457265643351,-0.13180542,-0.50727844,0.38638306
android.sensor.gyroscope,1537504422195,862457285907023,-0.23408508,-0.3901062,0.31288147
android.sensor.gyroscope,1537504422216,862457306170695,-0.30545044,-0.22285461,0.275589
android.sensor.gyroscope,1537504422237,862457326464884,-0.30438232,-0.044952393,0.28518677
android.sensor.gyroscope,1537504422256,862457346728556,-0.24046326,0.10523987,0.31181335
android.sensor.gyroscope,1537504422276,862457366992228,-0.15844727,0.17341614,0.32992554
android.sensor.gyroscope,1537504422297,862457387255900,-0.090270996,0.17129517,0.32460022
android.sensor.gyroscope,1537504422316,862457407519572,-0.05618286,0.14572144,0.3032837
android.sensor.gyroscope,1537504422336,862457427783243,-0.057250977,0.0839386,0.25854492
android.sensor.gyroscope,1537504422358,862457448077433,-0.08280945,0.014694214,0.1829071
android.sensor.gyroscope,1537504422379,862457468341105,-0.085998535,0.014694214,0.12965393
android.sensor.gyroscope,1537504422397,862457488604777,-0.058303833,0.07647705,0.09875488
android.sensor.gyroscope,1537504422417,862457508898966,-0.009307861,0.13720703,0.06892395
android.sensor.gyroscope,1537504422439,862457529193156,0.025848389,0.14785767,0.06359863
android.sensor.gyroscope,1537504422460,862457549487345,0.03968811,0.13613892,0.07852173
android.sensor.gyroscope,1537504422479,862457569751017,0.046081543,0.1116333,0.079589844
android.sensor.gyroscope,1537504422500,862457590014689,0.03543091,0.09352112,0.06573486
android.sensor.gyroscope,1537504422519,862457610278361,0.023712158,0.0881958,0.05508423
android.sensor.gyroscope,1537504422540,862457630542032,0.017318726,0.1031189,0.041229248
android.sensor.gyroscope,1537504422559,862457650805704,0.02798462,0.12548828,0.03164673
android.sensor.gyroscope,1537504422579,862457671069376,0.052474976,0.1116333,0.025253296
android.sensor.gyroscope,1537504422601,862457691333048,0.06951904,0.08607483,0.006088257
android.sensor.gyroscope,1537504422620,862457711596720,0.06739807,0.0881958,-0.0077667236
android.sensor.gyroscope,1537504422640,862457731890909,0.05140686,0.1116333,-3.0517578E-4
android.sensor.gyroscope,1537504422661,862457752154581,0.04396057,0.1308136,0.010345459
android.sensor.gyroscope,1537504422681,862457772418253,0.042892456,0.14146423,0.012466431
android.sensor.gyroscope,1537504422701,862457792712443,0.04714966,0.13827515,0.019927979
android.sensor.gyroscope,1537504422721,862457812976115,0.050354004,0.11909485,0.03590393
android.sensor.gyroscope,1537504422741,862457833270304,0.038635254,0.098861694,0.07531738
android.sensor.gyroscope,1537504422762,862457853533976,0.0013427734,0.10523987,0.12539673
android.sensor.gyroscope,1537504422782,862457873797648,-0.01676941,0.13294983,0.1786499
android.sensor.gyroscope,1537504422802,862457894061320,0.014129639,0.18833923,0.22338867
android.sensor.gyroscope,1537504422824,862457914324991,0.05354309,0.21496582,0.22659302
android.sensor.gyroscope,1537504422844,862457934619181,0.064193726,0.20005798,0.20529175
android.sensor.gyroscope,1537504422864,862457954882853,0.046081543,0.20431519,0.20315552
android.sensor.gyroscope,1537504422884,862457975146525,0.026916504,0.18940735,0.20422363
android.sensor.gyroscope,1537504422905,862457995410197,0.019454956,0.13400269,0.19996643
android.sensor.gyroscope,1537504422923,862458015704386,-7.7819824E-4,0.046661377,0.20422363
android.sensor.gyroscope,1537504422944,862458035968058,-0.023162842,-0.01939392,0.20954895
android.sensor.gyroscope,1537504422967,862458056231730,-0.041259766,0.0029754639,0.2063446
android.sensor.gyroscope,1537504422985,862458076525919,-0.046585083,0.021087646,0.20741272
