Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1537504238542,862273629794577,4.832367,8.249573,1.8575134
android.sensor.accelerometer,1537504238552,862273650058249,4.8227997,8.230423,1.8311768
android.sensor.accelerometer,1537504238569,862273670305496,4.8467407,8.2052765,1.7402039
android.sensor.accelerometer,1537504238591,862273690569168,4.852722,8.195709,1.5678253
android.sensor.accelerometer,1537504238611,862273710832840,4.8227997,8.23999,1.4612732
android.sensor.accelerometer,1537504238631,862273731096511,4.9329224,8.339355,1.638443
android.sensor.accelerometer,1537504238655,862273751390701,5.496765,7.981415,1.954483
android.sensor.accelerometer,1537504238673,862273771654373,5.4704285,8.109512,1.8311768
android.sensor.accelerometer,1537504238693,862273791918045,4.2409973,8.523712,1.3978271
android.sensor.accelerometer,1537504238713,862273812212234,4.7545624,7.9562836,1.6025391
android.sensor.accelerometer,1537504238735,862273832506424,4.5737915,8.19809,1.7605591
android.sensor.accelerometer,1537504238755,862273852770095,4.3571167,8.09874,2.088562
android.sensor.accelerometer,1537504238775,862273873033767,4.1739655,7.9048004,2.349533
android.sensor.accelerometer,1537504238795,862273893297439,3.5957642,7.66539,2.9013824
android.sensor.accelerometer,1537504238817,862273913561111,2.662033,7.4235687,3.9284973
android.sensor.accelerometer,1537504238836,862273933855300,1.906662,7.1111298,5.3195343
android.sensor.accelerometer,1537504238855,862273954118972,1.4026794,6.3557587,7.0708923
android.sensor.accelerometer,1537504238875,862273974382644,0.69039917,5.3358307,8.217712
android.sensor.accelerometer,1537504238897,862273994646316,0.32887268,5.0197906,8.991043
android.sensor.accelerometer,1537504238917,862274014909988,2.2334595,5.977478,9.945129
android.sensor.accelerometer,1537504238938,862274035173660,5.505142,7.826996,10.931549
android.sensor.accelerometer,1537504238956,862274055467849,9.454376,10.69165,13.007309
android.sensor.accelerometer,1537504238978,862274075731521,11.959915,11.740311,14.470169
android.sensor.accelerometer,1537504238998,862274095995193,13.4874115,11.249512,12.886414
android.sensor.accelerometer,1537504239018,862274116289382,16.06836,11.638565,10.476639
android.sensor.accelerometer,1537504239038,862274136553054,19.62854,12.283798,10.346161
android.sensor.accelerometer,1537504239059,862274156847244,21.809662,11.008896,10.755569
android.sensor.accelerometer,1537504239078,862274177110916,21.14766,8.447098,9.894852
android.sensor.accelerometer,1537504239099,862274197374588,19.705154,6.195343,8.548111
android.sensor.accelerometer,1537504239119,862274217638259,18.254272,4.033386,7.4120636
android.sensor.accelerometer,1537504239140,862274237901931,17.431854,2.1264038,6.1611023
android.sensor.accelerometer,1537504239161,862274258196121,18.158493,1.6643219,5.0861053
android.sensor.accelerometer,1537504239180,862274278459793,18.85521,1.435669,4.2014465
android.sensor.accelerometer,1537504239199,862274298723465,17.722748,0.355896,3.3383331
android.sensor.accelerometer,1537504239222,862274318987136,16.12822,-0.38032532,3.2078552
android.sensor.accelerometer,1537504239241,862274339250808,15.766693,-0.74664307,3.4317017
android.sensor.accelerometer,1537504239261,862274359544998,15.662537,-1.0219727,2.566208
android.sensor.accelerometer,1537504239282,862274379808670,15.729584,-1.5965881,1.0183563
android.sensor.accelerometer,1537504239302,862274400102859,15.587128,-2.1963348,-0.4433136
android.sensor.accelerometer,1537504239322,862274420366531,14.494171,-2.9900055,-1.6487885
android.sensor.accelerometer,1537504239342,862274440630203,12.886459,-4.261322,-2.6687164
android.sensor.accelerometer,1537504239364,862274460924392,11.159058,-5.3303375,-3.4911346
android.sensor.accelerometer,1537504239382,862274481188064,9.426849,-6.4843445,-4.2225647
android.sensor.accelerometer,1537504239403,862274501451736,8.004684,-7.378586,-5.1024323
android.sensor.accelerometer,1537504239424,862274521715408,6.5657806,-8.131561,-6.552109
android.sensor.accelerometer,1537504239444,862274541979080,4.346344,-8.87735,-8.102356
android.sensor.accelerometer,1537504239464,862274562242752,1.4625397,-9.577652,-9.845337
android.sensor.accelerometer,1537504239484,862274582536941,-0.919693,-9.60878,-10.193695
android.sensor.accelerometer,1537504239505,862274602800613,-2.0210266,-10.063675,-8.554871
android.sensor.accelerometer,1537504239525,862274623064285,-3.4443817,-11.50618,-7.3733215
android.sensor.accelerometer,1537504239545,862274643327957,-5.0293427,-12.0616455,-7.5660553
android.sensor.accelerometer,1537504239566,862274663591629,-6.5676117,-13.860886,-7.6737976
android.sensor.accelerometer,1537504239586,862274683885818,-7.8317566,-16.03601,-9.12468
android.sensor.accelerometer,1537504239605,862274704180007,-6.620285,-17.43901,-12.308975
android.sensor.accelerometer,1537504239627,862274724443679,-2.686615,-19.942154,-11.7690735
android.sensor.accelerometer,1537504239647,862274744707351,-0.6635132,-23.471207,-4.133972
android.sensor.accelerometer,1537504239667,862274764971023,2.974472,-25.311157,4.7856293
android.sensor.accelerometer,1537504239687,862274785234695,10.374954,-27.0242,6.88414
android.sensor.accelerometer,1537504239708,862274805528884,18.839645,-27.807098,1.8060455
