Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1537504232295,862267378607944,0.022644043,-0.011932373,0.08917236
android.sensor.gyroscope,1537504232309,862267398871616,0.040756226,-0.0140686035,0.09768677
android.sensor.gyroscope,1537504232326,862267419135288,0.06845093,-0.044952393,0.11367798
android.sensor.gyroscope,1537504232346,862267439398960,0.06951904,-0.07052612,0.14988708
android.sensor.gyroscope,1537504232367,862267459662632,0.034362793,-0.088638306,0.1829071
android.sensor.gyroscope,1537504232388,862267479956821,0.011993408,-0.076919556,0.18717957
android.sensor.gyroscope,1537504232409,862267500220493,0.023712158,-0.05027771,0.14776611
android.sensor.gyroscope,1537504232429,862267520514683,0.029037476,-0.058807373,0.10089111
android.sensor.gyroscope,1537504232450,862267540778355,-0.0135650635,-0.06732178,0.07852173
android.sensor.gyroscope,1537504232471,862267561042027,-0.055114746,-0.063064575,0.07531738
android.sensor.gyroscope,1537504232490,862267581336216,-0.045532227,-0.08969116,0.067871094
android.sensor.gyroscope,1537504232511,862267601599888,-0.027420044,-0.13444519,0.05934143
android.sensor.gyroscope,1537504232531,862267621863560,-0.0519104,-0.14082336,0.07426453
android.sensor.gyroscope,1537504232551,862267642127232,-0.08706665,-0.11206055,0.11047363
android.sensor.gyroscope,1537504232572,862267662390903,-0.085998535,-0.09289551,0.15309143
android.sensor.gyroscope,1537504232593,862267682685093,-0.07002258,-0.084365845,0.22659302
android.sensor.gyroscope,1537504232613,862267702948765,-0.03593445,-0.0055389404,0.39382935
android.sensor.gyroscope,1537504232633,862267723212437,0.089767456,0.14572144,0.6068878
android.sensor.gyroscope,1537504232654,862267743476109,0.27618408,0.35131836,0.79330444
android.sensor.gyroscope,1537504232673,862267763739780,0.5190582,0.535614,1.0820007
android.sensor.gyroscope,1537504232693,862267784033970,0.91960144,0.5899353,1.4516449
android.sensor.gyroscope,1537504232713,862267804328159,1.4564972,0.66238403,1.8798828
android.sensor.gyroscope,1537504232735,862267824591831,1.9987183,1.0874176,2.3837585
android.sensor.gyroscope,1537504232755,862267844855503,2.4546509,1.7255096,2.7661743
android.sensor.gyroscope,1537504232774,862267865119175,2.9148407,2.2251282,3.0292969
android.sensor.gyroscope,1537504232796,862267885382847,3.348404,2.6160736,3.444748
android.sensor.gyroscope,1537504232815,862267905677036,3.6424255,2.797165,3.8602142
android.sensor.gyroscope,1537504232836,862267925940708,3.508194,2.8504333,3.6972198
android.sensor.gyroscope,1537504232856,862267946204380,3.1950073,2.7503052,3.1507416
android.sensor.gyroscope,1537504232876,862267966468052,3.5689087,2.608612,3.027176
android.sensor.gyroscope,1537504232898,862267986731724,4.5510864,2.7364502,3.2082672
android.sensor.gyroscope,1537504232916,862268007025913,5.5737457,2.7769318,2.966446
android.sensor.gyroscope,1537504232937,862268027289585,6.3780212,2.3614807,2.2601776
android.sensor.gyroscope,1537504232957,862268047553257,6.391861,2.4680023,1.5869293
android.sensor.gyroscope,1537504232976,862268067816929,5.981735,3.3436432,1.0383148
android.sensor.gyroscope,1537504232997,862268088111118,6.0296783,3.7559052,0.39596558
android.sensor.gyroscope,1537504233018,862268108405308,6.792404,3.29039,-0.55744934
android.sensor.gyroscope,1537504233039,862268128668980,7.8129272,2.398758,-1.3990021
android.sensor.gyroscope,1537504233057,862268148932652,8.541565,1.6072693,-2.1095276
android.sensor.gyroscope,1537504233078,862268169196323,8.433975,1.123642,-2.5430908
android.sensor.gyroscope,1537504233098,862268189459995,7.6233063,1.0213776,-2.6304474
android.sensor.gyroscope,1537504233118,862268209723667,6.880829,1.1545258,-2.8328552
android.sensor.gyroscope,1537504233140,862268229987339,6.363098,1.5518799,-3.2951813
android.sensor.gyroscope,1537504233159,862268250251011,5.912491,2.127121,-3.721283
android.sensor.gyroscope,1537504233179,862268270545200,5.703705,2.3177948,-3.7766724
android.sensor.gyroscope,1537504233199,862268290808872,5.7324677,2.0056763,-3.3484344
android.sensor.gyroscope,1537504233219,862268311072544,5.6632233,1.4783783,-2.654953
android.sensor.gyroscope,1537504233240,862268331366734,5.2850647,0.94467163,-1.9614563
android.sensor.gyroscope,1537504233261,862268351630405,4.7716064,0.56544495,-1.3595886
android.sensor.gyroscope,1537504233282,862268371924595,4.243225,0.56863403,-0.94625854
android.sensor.gyroscope,1537504233301,862268392188267,3.4730377,0.8317566,-0.59898376
android.sensor.gyroscope,1537504233322,862268412451939,2.6112366,0.9073944,-0.09724426
android.sensor.gyroscope,1537504233343,862268432746128,1.8751526,0.8029938,0.5472412
android.sensor.gyroscope,1537504233361,862268453009800,0.7353058,1.0160522,1.3781433
android.sensor.gyroscope,1537504233384,862268473273472,-0.92863464,1.5486755,2.3645782
android.sensor.gyroscope,1537504233403,862268493537144,-2.5414429,2.0983582,3.6748505
android.sensor.gyroscope,1537504233423,862268513800816,-3.3126984,2.4051514,4.9840546
android.sensor.gyroscope,1537504233443,862268534095005,-3.2839355,2.3007507,5.9854126
android.sensor.gyroscope,1537504233464,862268554358677,-3.373413,2.2453613,6.7300262
android.sensor.gyroscope,1537504233484,862268574622349,-4.088211,2.445633,7.326584
android.sensor.gyroscope,1537504233504,862268594886021,-5.4155273,2.7918396,7.7835693
android.sensor.gyroscope,1537504233524,862268615149693,-6.9324646,2.5468292,7.614197
android.sensor.gyroscope,1537504233545,862268635443882,-8.346069,1.7010193,6.472229
android.sensor.gyroscope,1537504233565,862268655738071,-9.656342,0.9020691,5.1438446
android.sensor.gyroscope,1537504233585,862268676001743,-10.719482,1.1662445,4.144638
android.sensor.gyroscope,1537504233608,862268696265415,-10.830261,1.7968903,2.855667
android.sensor.gyroscope,1537504233626,862268716529087,-9.949295,1.1673126,1.2385864
android.sensor.gyroscope,1537504233647,862268736792759,-9.264328,-0.58291626,0.006088257
android.sensor.gyroscope,1537504233667,862268757086948,-9.598816,-1.2508392,-0.7449341
android.sensor.gyroscope,1537504233687,862268777350620,-10.144226,-0.34855652,-1.8943481
android.sensor.gyroscope,1537504233707,862268797614292,-9.483765,-0.03643799,-2.9841156
android.sensor.gyroscope,1537504233728,862268817877964,-6.7566986,-1.3722687,-2.6762543
android.sensor.gyroscope,1537504233748,862268838141636,-4.3971252,-2.4481964,-1.9305725
android.sensor.gyroscope,1537504233769,862268858435825,-3.3979187,-2.5728302,-1.651474
android.sensor.gyroscope,1537504233789,862268878699497,-3.0325317,-2.1339417,-1.778244
android.sensor.gyroscope,1537504233809,862268898963169,-2.7267914,-1.9432526,-2.0573425
android.sensor.gyroscope,1537504233829,862268919226841,-2.3656769,-2.2884064,-2.0882263
android.sensor.gyroscope,1537504233849,862268939521030,-1.8841705,-2.8934784,-1.8261719
android.sensor.gyroscope,1537504233869,862268959815220,-1.5006714,-3.254593,-1.4107208
android.sensor.gyroscope,1537504233889,862268980078892,-1.3515472,-3.2364807,-1.032547
android.sensor.gyroscope,1537504233909,862269000342564,-1.2130585,-3.0649872,-0.9803467
android.sensor.gyroscope,1537504233930,862269020606235,-1.1491394,-2.7347412,-1.1721039
android.sensor.gyroscope,1537504233949,862269040869907,-1.3675232,-2.331009,-1.192337
android.sensor.gyroscope,1537504233977,862269061164097,-1.667923,-1.8953247,-1.0453339
