Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1537504369327,862404423922219,-0.096084595,8.327377,4.2912292
android.sensor.accelerometer,1537504369343,862404444185891,-0.6264038,8.243591,3.453247
android.sensor.accelerometer,1537504369365,862404464449563,-1.2105865,7.9838104,3.2162323
android.sensor.accelerometer,1537504369385,862404484713235,-1.3518524,7.819809,3.2617188
android.sensor.accelerometer,1537504369406,862404504976906,-1.117218,7.8688965,3.180313
android.sensor.accelerometer,1537504369426,862404525271096,-0.73295593,7.8569183,3.0402527
android.sensor.accelerometer,1537504369446,862404545534768,-0.44804382,7.788681,2.6763306
android.sensor.accelerometer,1537504369467,862404565798440,-0.5210571,7.610321,2.3603058
android.sensor.accelerometer,1537504369487,862404586092629,-0.5031128,7.380478,2.6990814
android.sensor.accelerometer,1537504369509,862404606356301,-0.33909607,7.273941,3.6352081
android.sensor.accelerometer,1537504369530,862404626650490,-0.19903564,7.263153,4.396576
android.sensor.accelerometer,1537504369546,862404646914162,0.052352905,7.404419,4.420517
android.sensor.accelerometer,1537504369570,862404667177834,0.13973999,7.4068146,4.1176453
android.sensor.accelerometer,1537504369589,862404687441506,0.2809906,7.1649933,3.6962585
android.sensor.accelerometer,1537504369610,862404707705178,0.73828125,6.831009,3.199463
android.sensor.accelerometer,1537504369630,862404727999367,1.2578278,6.2599945,2.4967651
android.sensor.accelerometer,1537504369650,862404748263039,1.6995544,5.479477,1.6312714
android.sensor.accelerometer,1537504369670,862404768526711,1.985672,4.3554077,0.60894775
android.sensor.accelerometer,1537504369690,862404788790383,2.298111,2.9667664,-0.75694275
android.sensor.accelerometer,1537504369710,862404809054055,1.8192749,0.7533264,-1.2681122
android.sensor.accelerometer,1537504369731,862404829348244,0.6916046,-2.636856,1.2110901
android.sensor.accelerometer,1537504369751,862404849611916,1.168045,-3.8650818,4.816757
android.sensor.accelerometer,1537504369771,862404869906106,3.6807556,-3.8160095,7.3833313
android.sensor.accelerometer,1537504369792,862404890169778,6.9811707,-3.7381897,9.242432
android.sensor.accelerometer,1537504369813,862404910433449,11.712112,-3.5682068,12.3333435
android.sensor.accelerometer,1537504369832,862404930727639,15.420731,-1.430191,13.281448
android.sensor.accelerometer,1537504369853,862404950991311,17.320526,1.0813293,8.1267395
android.sensor.accelerometer,1537504369873,862404971254983,20.57425,3.669464,2.8451233
android.sensor.accelerometer,1537504369894,862404991518655,21.64206,5.2963257,-0.8993988
android.sensor.accelerometer,1537504369914,862405011782326,20.626923,5.4172363,-2.271286
android.sensor.accelerometer,1537504369933,862405032076516,18.842041,3.3618164,-0.92933655
android.sensor.accelerometer,1537504369954,862405052340188,17.009277,1.554184,1.1488342
android.sensor.accelerometer,1537504369974,862405072603860,17.31813,1.2860413,2.4225464
android.sensor.accelerometer,1537504369994,862405092867531,18.2435,0.7605133,1.3152313
android.sensor.accelerometer,1537504370016,862405113131203,20.124146,0.31399536,-0.5007782
android.sensor.accelerometer,1537504370035,862405133425393,21.984436,-0.44737244,-1.9624329
android.sensor.accelerometer,1537504370056,862405153719582,23.991974,-0.42941284,-3.2852325
android.sensor.accelerometer,1537504370077,862405173983254,24.984375,0.37265015,-5.722519
android.sensor.accelerometer,1537504370096,862405194246926,25.436874,0.96881104,-7.995819
android.sensor.accelerometer,1537504370117,862405214510598,26.146759,2.3945465,-8.765549
android.sensor.accelerometer,1537504370138,862405234804787,25.295609,3.6598816,-9.00856
android.sensor.accelerometer,1537504370156,862405255068459,24.166748,4.3625793,-8.669785
android.sensor.accelerometer,1537504370178,862405275332131,23.00676,6.2372437,-7.971878
android.sensor.accelerometer,1537504370197,862405295595803,20.563477,8.077194,-8.204117
android.sensor.accelerometer,1537504370219,862405315859475,17.88556,8.319,-8.891251
android.sensor.accelerometer,1537504370237,862405336153664,16.698029,9.881226,-9.032501
android.sensor.accelerometer,1537504370257,862405356417336,17.978928,13.382736,-8.758377
android.sensor.accelerometer,1537504370278,862405376681008,16.359253,14.847992,-9.417969
android.sensor.accelerometer,1537504370298,862405396944680,12.461502,11.9964905,-8.576416
android.sensor.accelerometer,1537504370320,862405417208352,8.671478,7.459488,-6.4910583
android.sensor.accelerometer,1537504370340,862405437502541,8.321915,5.218506,-3.9879303
android.sensor.accelerometer,1537504370359,862405457796731,11.245239,4.443985,-2.4711914
android.sensor.accelerometer,1537504370379,862405478060403,11.369736,1.5374298,-1.4105682
android.sensor.accelerometer,1537504370400,862405498324074,9.368195,-2.462082,0.40544128
android.sensor.accelerometer,1537504370421,862405518587746,8.722946,-4.549835,2.4500885
android.sensor.accelerometer,1537504370441,862405538881936,10.160675,-5.356674,3.9775848
android.sensor.accelerometer,1537504370463,862405559145608,10.684998,-6.799179,2.998352
android.sensor.accelerometer,1537504370481,862405579409280,11.913223,-9.557297,-0.3104248
android.sensor.accelerometer,1537504370501,862405599672951,14.658173,-13.968613,-0.6168823
android.sensor.accelerometer,1537504370522,862405619936623,16.791412,-21.01715,1.9760284
android.sensor.accelerometer,1537504370542,862405640230813,17.131393,-26.812317,6.690216
android.sensor.accelerometer,1537504370562,862405660494485,12.673386,-29.295105,10.540085
android.sensor.accelerometer,1537504370582,862405680788674,7.0709534,-30.81662,10.562836
android.sensor.accelerometer,1537504370601,862405701021828,3.0870056,-32.11548,8.356583
android.sensor.accelerometer,1537504370623,862405721316018,-2.674652,-33.198853,3.8423157
android.sensor.accelerometer,1537504370644,862405741610207,-10.399536,-33.355667,-1.1783295
android.sensor.accelerometer,1537504370664,862405761873879,-11.80014,-30.319824,-4.5745087
android.sensor.accelerometer,1537504370684,862405782137551,-4.572052,-28.247635,-2.4209137
android.sensor.accelerometer,1537504370705,862405802401223,2.9828491,-28.397278,-0.57858276
android.sensor.accelerometer,1537504370724,862405822664895,8.253693,-29.74881,-1.7194214
android.sensor.accelerometer,1537504370745,862405842959084,10.785553,-31.645004,-2.1934662
android.sensor.accelerometer,1537504370764,862405863222756,13.0564575,-36.09224,-1.2489624
android.sensor.accelerometer,1537504370785,862405883486428,11.965897,-40.019928,0.47605896
android.sensor.accelerometer,1537504370805,862405903750100,8.451202,-40.019928,0.6652069
android.sensor.accelerometer,1537504370826,862405924013772,13.347351,-39.942123,0.2138977
android.sensor.accelerometer,1537504370847,862405944307961,23.847122,-40.019928,2.3567047
android.sensor.accelerometer,1537504370868,862405964571633,30.012192,-39.326813,7.3198853
android.sensor.accelerometer,1537504370887,862405984835305,37.735886,-37.450943,10.659805
android.sensor.accelerometer,1537504370908,862406005129494,39.027557,-33.60347,19.700302
android.sensor.accelerometer,1537504370927,862406025423684,38.955734,-29.6279,22.454834
android.sensor.accelerometer,1537504370948,862406045687356,38.98326,-25.04779,12.049637
android.sensor.accelerometer,1537504370967,862406065951028,39.027557,-11.647446,7.1032104
android.sensor.accelerometer,1537504370987,862406086214699,39.027557,5.1730194,13.275467
android.sensor.accelerometer,1537504371008,862406106478371,38.136917,16.647232,22.89058
android.sensor.accelerometer,1537504371029,862406126772561,25.758896,14.962906,18.751007
android.sensor.accelerometer,1537504371049,862406147036233,8.28241,8.645813,8.563675
android.sensor.accelerometer,1537504371069,862406167299905,3.4748535,7.356537,7.623947
android.sensor.accelerometer,1537504371089,862406187563576,12.371719,10.357666,10.875275
android.sensor.accelerometer,1537504371109,862406207827248,19.450165,13.23909,10.24321
android.sensor.accelerometer,1537504371129,862406228121438,20.31926,14.235077,7.8490143
android.sensor.accelerometer,1537504371149,862406248385110,15.710434,12.146133,4.212219
android.sensor.accelerometer,1537504371169,862406268648781,9.916458,9.263519,1.5163422
android.sensor.accelerometer,1537504371189,862406288912453,6.1982574,7.989807,1.1943207
