Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1537504376250,862411329159493,-0.017822266,0.22561646,-0.12388611
android.sensor.gyroscope,1537504376256,862411349423165,0.013061523,0.3726349,-0.09831238
android.sensor.gyroscope,1537504376276,862411369682278,-0.062576294,0.361969,-0.3028412
android.sensor.gyroscope,1537504376297,862411389945950,-0.1690979,0.25012207,-0.44558716
android.sensor.gyroscope,1537504376318,862411410209621,-0.29266357,0.25012207,-0.28367615
android.sensor.gyroscope,1537504376340,862411430503811,-0.45671082,0.2053833,-0.09298706
android.sensor.gyroscope,1537504376360,862411450798000,-0.60372925,0.18087769,-0.0066986084
android.sensor.gyroscope,1537504376378,862411471061672,-0.6101227,0.2053833,0.06254578
android.sensor.gyroscope,1537504376400,862411491325344,-0.4705658,0.11590576,0.16693115
android.sensor.gyroscope,1537504376421,862411511589016,-0.38960266,-0.032165527,0.2809143
android.sensor.gyroscope,1537504376440,862411531883205,-0.3416748,-0.29103088,0.4577484
android.sensor.gyroscope,1537504376461,862411552146877,-0.16696167,-0.723526,0.75283813
android.sensor.gyroscope,1537504376482,862411572410549,0.16326904,-1.3339233,0.99357605
android.sensor.gyroscope,1537504376501,862411592674221,0.690567,-1.9666901,1.0937195
android.sensor.gyroscope,1537504376522,862411612937893,1.2402496,-2.2564392,1.2002411
android.sensor.gyroscope,1537504376543,862411633232082,1.9571686,-2.8178406,1.6806793
android.sensor.gyroscope,1537504376562,862411653495754,2.8029938,-3.508133,2.0460663
android.sensor.gyroscope,1537504376584,862411673759426,3.272766,-3.5592651,1.9618988
android.sensor.gyroscope,1537504376604,862411694023098,3.6637268,-3.5645905,1.9161072
android.sensor.gyroscope,1537504376624,862411714286770,3.7681274,-3.4740448,2.4519348
android.sensor.gyroscope,1537504376645,862411734580959,3.6008759,-3.0884094,3.0165253
android.sensor.gyroscope,1537504376665,862411754875149,3.8522797,-3.1746979,3.140091
android.sensor.gyroscope,1537504376683,862411775138821,4.2783813,-4.068466,3.0953522
android.sensor.gyroscope,1537504376705,862411795402493,3.9598694,-4.6927032,3.4053345
android.sensor.gyroscope,1537504376723,862411815666164,2.8029938,-4.2538147,3.9773865
android.sensor.gyroscope,1537504376744,862411835960354,1.9987183,-3.6231842,4.4865875
android.sensor.gyroscope,1537504376764,862411856224026,2.2479858,-3.8074646,4.601639
android.sensor.gyroscope,1537504376785,862411876487698,2.634674,-4.448761,4.610153
android.sensor.gyroscope,1537504376805,862411896751369,2.185135,-4.402954,4.9830017
android.sensor.gyroscope,1537504376825,862411917015041,1.2711334,-3.3589935,5.1054993
android.sensor.gyroscope,1537504376845,862411937309231,0.6586151,-2.3970642,4.843445
android.sensor.gyroscope,1537504376865,862411957572903,0.4764557,-2.3523254,4.546234
android.sensor.gyroscope,1537504376886,862411977836575,0.3827057,-2.8988037,4.5355835
android.sensor.gyroscope,1537504376906,862411998100246,0.36354065,-3.4378204,4.4535522
android.sensor.gyroscope,1537504376926,862412018394436,0.5424957,-3.6668549,4.2287903
android.sensor.gyroscope,1537504376948,862412038688625,0.6564789,-3.6391602,4.1329193
android.sensor.gyroscope,1537504376969,862412058952297,0.59043884,-3.6476746,4.1052246
android.sensor.gyroscope,1537504376987,862412079215969,0.4253235,-3.700943,3.9028168
android.sensor.gyroscope,1537504377009,862412099479641,0.36140442,-4.0588684,3.461792
android.sensor.gyroscope,1537504377030,862412119743313,0.39762878,-4.5457,3.093216
android.sensor.gyroscope,1537504377049,862412140037502,0.624527,-4.8279877,2.8162537
android.sensor.gyroscope,1537504377069,862412160301174,1.0346527,-5.0623474,2.3635101
android.sensor.gyroscope,1537504377090,862412180564846,1.1379852,-5.2711487,1.7690887
android.sensor.gyroscope,1537504377110,862412200828518,0.82159424,-5.468216,1.1331329
android.sensor.gyroscope,1537504377130,862412221092190,0.448761,-5.759033,0.56533813
android.sensor.gyroscope,1537504377151,862412241386379,0.16326904,-6.055176,0.2532196
android.sensor.gyroscope,1537504377170,862412261650051,-0.14779663,-6.0168304,0.29795837
android.sensor.gyroscope,1537504377192,862412281913723,-0.46310425,-5.8293457,0.26068115
android.sensor.gyroscope,1537504377211,862412302207912,-0.6942749,-6.0637054,-0.3028412
