Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1537504299218,862334303265999,4.6827393,7.527725,2.4225464
android.sensor.accelerometer,1537504299231,862334323529671,4.907791,7.60553,2.4692383
android.sensor.accelerometer,1537504299243,862334343823860,5.101715,7.6390533,2.6033173
android.sensor.accelerometer,1537504299265,862334364087532,5.101715,7.617508,2.646408
android.sensor.accelerometer,1537504299285,862334384351204,5.0706024,7.6151123,2.488388
android.sensor.accelerometer,1537504299304,862334404614876,4.9652557,7.56723,2.3662872
android.sensor.accelerometer,1537504299326,862334424878548,4.852722,7.530121,2.4476929
android.sensor.accelerometer,1537504299347,862334445172737,4.7617493,7.500183,2.4273376
android.sensor.accelerometer,1537504299366,862334465436409,4.674362,7.388855,2.2058716
android.sensor.accelerometer,1537504299387,862334485730599,4.5067596,7.266754,2.0873566
android.sensor.accelerometer,1537504299406,862334505994271,4.349945,7.1685944,1.9568787
android.sensor.accelerometer,1537504299428,862334526257942,3.9429321,6.77713,1.5031738
android.sensor.accelerometer,1537504299448,862334546552132,3.5598602,6.3820953,0.8172302
android.sensor.accelerometer,1537504299469,862334566815804,3.3479614,5.9283905,0.28572083
android.sensor.accelerometer,1537504299488,862334587079476,3.2929077,4.9635315,-0.5414734
android.sensor.accelerometer,1537504299509,862334607343148,3.4042358,3.760437,-1.6284332
android.sensor.accelerometer,1537504299529,862334627606819,3.9537048,3.017044,-2.4664154
android.sensor.accelerometer,1537504299550,862334647901009,4.8742676,2.3694153,-2.6495667
android.sensor.accelerometer,1537504299570,862334668164681,6.685486,1.6140442,-3.0589752
android.sensor.accelerometer,1537504299589,862334688428353,8.91449,1.0358429,-3.6850586
android.sensor.accelerometer,1537504299610,862334708692024,10.300735,0.56777954,-3.5665436
android.sensor.accelerometer,1537504299631,862334728955696,11.660629,-0.06788635,-3.3271332
android.sensor.accelerometer,1537504299651,862334749249886,13.614304,-0.62693787,-3.4145203
android.sensor.accelerometer,1537504299671,862334769544075,16.32933,-0.6448822,-2.9380646
android.sensor.accelerometer,1537504299691,862334789807747,18.516434,-0.5838318,-1.5721741
android.sensor.accelerometer,1537504299713,862334810071419,19.392715,-0.9848633,-0.8766632
android.sensor.accelerometer,1537504299732,862334830335091,20.294128,-1.74263,-1.8810272
android.sensor.accelerometer,1537504299753,862334850629280,22.073013,-2.9541016,-2.8782196
android.sensor.accelerometer,1537504299773,862334870892952,24.325958,-3.8447418,-1.9684143
android.sensor.accelerometer,1537504299793,862334891156624,24.816772,-4.7772827,-0.6934967
android.sensor.accelerometer,1537504299814,862334911420296,24.758118,-5.2357635,-0.73539734
android.sensor.accelerometer,1537504299834,862334931683968,25.154358,-5.827133,-0.63005066
android.sensor.accelerometer,1537504299853,862334951978157,25.85466,-5.968399,0.3336029
android.sensor.accelerometer,1537504299874,862334972241829,26.161118,-5.506317,1.0075836
android.sensor.accelerometer,1537504299894,862334992505501,26.04979,-5.0681763,1.6432343
android.sensor.accelerometer,1537504299915,862335012769173,26.678268,-4.1883087,2.4991608
android.sensor.accelerometer,1537504299936,862335033032845,27.04219,-2.9804382,3.3119965
android.sensor.accelerometer,1537504299954,862335053327034,26.066544,-2.2023163,3.4712067
android.sensor.accelerometer,1537504299975,862335073621224,24.840714,-1.545105,3.7417603
android.sensor.accelerometer,1537504299996,862335093884896,23.18991,-1.2266846,3.3287506
android.sensor.accelerometer,1537504300016,862335114148567,20.641281,-1.4708862,2.4859924
android.sensor.accelerometer,1537504300037,862335134412239,17.744308,-1.7545929,2.3662872
android.sensor.accelerometer,1537504300055,862335154706429,14.935898,-1.8838806,2.77211
android.sensor.accelerometer,1537504300076,862335174970101,12.268768,-1.5319366,2.902588
android.sensor.accelerometer,1537504300096,862335195233773,10.244461,-0.8675537,3.2940369
android.sensor.accelerometer,1537504300117,862335215497444,8.494308,-0.6999512,4.855057
android.sensor.accelerometer,1537504300137,862335235761116,6.7944183,-0.9585266,6.05336
android.sensor.accelerometer,1537504300158,862335256055306,4.8227997,-1.2027435,6.125183
android.sensor.accelerometer,1537504300177,862335276318978,2.6057587,-1.3499756,6.3849487
android.sensor.accelerometer,1537504300197,862335296582649,0.71554565,-1.4948273,8.439178
android.sensor.accelerometer,1537504300219,862335316846321,0.5635071,-2.204712,11.489395
android.sensor.accelerometer,1537504300239,862335337109993,1.6816101,-3.0438843,13.307785
android.sensor.accelerometer,1537504300259,862335357404183,2.337616,-2.7853088,13.556778
android.sensor.accelerometer,1537504300280,862335377698372,2.5854187,-2.441742,12.989365
android.sensor.accelerometer,1537504300300,862335397962044,3.5382996,-2.6296844,12.152588
android.sensor.accelerometer,1537504300321,862335418225716,4.606125,-2.9385376,11.68811
android.sensor.accelerometer,1537504300341,862335438489388,5.4476776,-3.628067,10.853729
android.sensor.accelerometer,1537504300360,862335458783577,7.339096,-4.466034,9.028152
android.sensor.accelerometer,1537504300381,862335479047249,10.185806,-5.080139,6.594452
android.sensor.accelerometer,1537504300400,862335499310921,12.885269,-6.1252136,5.942032
android.sensor.accelerometer,1537504300421,862335519574593,16.164124,-7.594055,7.645508
android.sensor.accelerometer,1537504300440,862335539838265,20.619736,-8.444,10.585587
android.sensor.accelerometer,1537504300462,862335560132454,24.211044,-10.687363,10.73761
android.sensor.accelerometer,1537504300483,862335580396126,28.798325,-13.815384,5.535019
android.sensor.accelerometer,1537504300503,862335600659798,34.33133,-15.204025,-0.47802734
android.sensor.accelerometer,1537504300524,862335620953987,38.512802,-15.790604,-0.64801025
android.sensor.accelerometer,1537504300542,862335641217659,39.027557,-19.305298,3.4508667
android.sensor.accelerometer,1537504300563,862335661511849,38.992844,-25.880966,5.2728424
android.sensor.accelerometer,1537504300583,862335681775521,39.009598,-30.526917,2.7852783
android.sensor.accelerometer,1537504300603,862335702039192,39.027557,-33.288635,0.74780273
android.sensor.accelerometer,1537504300623,862335722302864,39.027557,-37.38391,2.3112183
android.sensor.accelerometer,1537504300644,862335742566536,39.027557,-40.019928,1.2266388
android.sensor.accelerometer,1537504300664,862335762860726,39.027557,-40.019928,-3.2098083
android.sensor.accelerometer,1537504300684,862335783124398,39.027557,-39.96846,-4.833084
android.sensor.accelerometer,1537504300706,862335803388069,39.027557,-40.019928,-3.045807
android.sensor.accelerometer,1537504300725,862335823651741,39.027557,-40.019928,-0.5151367
android.sensor.accelerometer,1537504300746,862335843915413,39.027557,-40.018738,-0.21226501
android.sensor.accelerometer,1537504300766,862335864209603,39.027557,-40.019928,-2.935669
android.sensor.accelerometer,1537504300787,862335884473274,39.027557,-40.019928,-7.2859344
android.sensor.accelerometer,1537504300807,862335904767464,39.027557,-39.972046,-9.707672
android.sensor.accelerometer,1537504300825,862335925031136,39.027557,-38.139282,-8.250809
android.sensor.accelerometer,1537504300845,862335945294808,37.832855,-35.435028,-5.472336
android.sensor.accelerometer,1537504300867,862335965588997,30.89804,-33.330536,-4.5350037
android.sensor.accelerometer,1537504300886,862335985852669,24.76889,-30.074417,-4.726532
android.sensor.accelerometer,1537504300905,862336006116341,20.689163,-26.532196,-4.7959747
android.sensor.accelerometer,1537504300927,862336026380013,17.804153,-22.944489,-5.74646
android.sensor.accelerometer,1537504300947,862336046643685,16.78064,-20.06546,-5.521408
android.sensor.accelerometer,1537504300968,862336066937874,15.12146,-18.893494,-3.9783478
android.sensor.accelerometer,1537504300988,862336087201546,12.67218,-18.853989,-2.714203
android.sensor.accelerometer,1537504301008,862336107465218,9.332275,-20.154037,-3.0637665
android.sensor.accelerometer,1537504301028,862336127728890,6.900955,-20.970459,-5.6770325
android.sensor.accelerometer,1537504301050,862336147992562,6.211426,-23.377838,-8.721268
android.sensor.accelerometer,1537504301069,862336168286751,4.1979065,-26.0354,-12.730347
android.sensor.accelerometer,1537504301089,862336188580940,0.020019531,-26.414871,-15.454956
android.sensor.accelerometer,1537504301110,862336208844612,-4.0608826,-24.954422,-16.766983
android.sensor.accelerometer,1537504301130,862336229108284,-7.7012787,-24.519867,-15.617767
android.sensor.accelerometer,1537504301151,862336249371956,-12.493271,-24.488739,-12.361649
android.sensor.accelerometer,1537504301170,862336269666146,-14.98204,-23.449661,-9.099548
android.sensor.accelerometer,1537504301190,862336289929817,-12.460953,-21.60852,-6.65506
android.sensor.accelerometer,1537504301211,862336310193489,-7.9849854,-19.849976,-6.8621674
android.sensor.accelerometer,1537504301232,862336330457161,-3.9866638,-17.787369,-8.75119
android.sensor.accelerometer,1537504301253,862336350720833,0.37677002,-15.662521,-10.840134
android.sensor.accelerometer,1537504301271,862336370984505,3.2306519,-14.11586,-11.241165
android.sensor.accelerometer,1537504301292,862336391278694,4.4026184,-13.737579,-10.296646
android.sensor.accelerometer,1537504301314,862336411542366,4.82399,-13.572372,-9.301849
android.sensor.accelerometer,1537504301332,862336431806038,6.4795837,-12.664978,-7.6331024
android.sensor.accelerometer,1537504301352,862336452069710,9.508255,-11.326614,-5.936798
android.sensor.accelerometer,1537504301373,862336472363899,12.202927,-9.465134,-4.682251
android.sensor.accelerometer,1537504301394,862336492658089,12.398056,-7.8526306,-3.7509003
android.sensor.accelerometer,1537504301414,862336512921761,10.954346,-7.4061127,-2.2485352
android.sensor.accelerometer,1537504301434,862336533185433,10.249252,-7.1140137,0.8423767
android.sensor.accelerometer,1537504301455,862336553449105,10.520996,-5.5685577,3.9249115
