Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1537504269835,862304921794602,0.15901184,0.022155762,-0.051437378
android.sensor.gyroscope,1537504269853,862304942088791,0.13557434,0.004043579,-0.11003113
android.sensor.gyroscope,1537504269869,862304962352463,0.108932495,0.016830444,-0.16009521
android.sensor.gyroscope,1537504269891,862304982616135,0.101486206,0.044525146,-0.20803833
android.sensor.gyroscope,1537504269911,862305002910324,0.10574341,0.06263733,-0.21549988
android.sensor.gyroscope,1537504269931,862305023173996,0.11853027,0.06689453,-0.19206238
android.sensor.gyroscope,1537504269952,862305043468186,0.11746216,0.08607483,-0.2016449
android.sensor.gyroscope,1537504269973,862305063731857,0.10787964,0.09991455,-0.2527771
android.sensor.gyroscope,1537504269993,862305083990183,0.07484436,0.108444214,-0.2996521
android.sensor.gyroscope,1537504270013,862305104253855,0.052474976,0.11483765,-0.28579712
android.sensor.gyroscope,1537504270033,862305124517527,0.045028687,0.1265564,-0.23040771
android.sensor.gyroscope,1537504270054,862305144811716,0.056732178,0.15211487,-0.15797424
android.sensor.gyroscope,1537504270075,862305165075388,0.08016968,0.16383362,-0.037597656
android.sensor.gyroscope,1537504270093,862305185339060,0.06739807,0.2011261,0.07106018
android.sensor.gyroscope,1537504270114,862305205602732,0.04714966,0.29060364,0.16053772
android.sensor.gyroscope,1537504270133,862305225866404,0.03543091,0.47062683,0.5184784
android.sensor.gyroscope,1537504270155,862305246160593,-0.29159546,0.9361572,1.0947876
android.sensor.gyroscope,1537504270175,862305266424265,-1.1022644,1.4602661,1.7350006
android.sensor.gyroscope,1537504270197,862305286718455,-1.9981537,1.4677124,2.0726929
android.sensor.gyroscope,1537504270217,862305306982127,-2.4508972,0.8594513,2.0918732
android.sensor.gyroscope,1537504270237,862305327245798,-2.1217194,-0.8130188,2.0918732
android.sensor.gyroscope,1537504270255,862305347539988,-1.6551361,-2.365097,2.1270294
android.sensor.gyroscope,1537504270280,862305367803660,-1.7904358,-2.8476715,2.0460663
android.sensor.gyroscope,1537504270299,862305388067332,-2.1419678,-2.9147797,2.0322113
android.sensor.gyroscope,1537504270318,862305408331004,-2.4061584,-2.7507324,2.0631104
android.sensor.gyroscope,1537504270338,862305428594675,-2.6468964,-2.5259552,1.8308716
android.sensor.gyroscope,1537504270359,862305448888865,-2.8397217,-2.3874664,1.4314117
android.sensor.gyroscope,1537504270377,862305469152537,-2.7725983,-2.3864136,1.2439117
android.sensor.gyroscope,1537504270399,862305489416209,-2.6330566,-2.6537933,1.2716217
android.sensor.gyroscope,1537504270420,862305509679881,-2.6319885,-2.9382172,1.391983
android.sensor.gyroscope,1537504270439,862305529943552,-2.6671448,-3.206665,1.6391296
android.sensor.gyroscope,1537504270459,862305550207224,-2.7310638,-3.5209198,1.8489838
android.sensor.gyroscope,1537504270480,862305570501414,-2.9632874,-3.9480896,1.3525696
android.sensor.gyroscope,1537504270500,862305590765086,-3.323349,-4.558487,0.6665497
android.sensor.gyroscope,1537504270519,862305611028757,-3.577942,-5.0133514,0.4524231
android.sensor.gyroscope,1537504270540,862305631322947,-3.6557007,-5.0751343,0.16693115
android.sensor.gyroscope,1537504270562,862305651586619,-3.740921,-5.1550293,-0.53401184
android.sensor.gyroscope,1537504270581,862305671880808,-3.7910004,-5.67807,-1.4362946
android.sensor.gyroscope,1537504270602,862305692144480,-3.5523834,-6.5270844,-2.3289795
android.sensor.gyroscope,1537504270622,862305712408152,-3.1731415,-7.238693,-3.0331116
android.sensor.gyroscope,1537504270643,862305732671824,-3.262619,-7.730835,-3.5028992
android.sensor.gyroscope,1537504270661,862305752935496,-3.847458,-8.343369,-3.7159576
android.sensor.gyroscope,1537504270682,862305773229685,-4.3491974,-8.470139,-3.3804016
