Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1537504453518,862488613959266,0.6712494,7.5253296,5.920471
android.sensor.accelerometer,1537504453533,862488634222938,0.51802063,7.4427185,5.7564697
android.sensor.accelerometer,1537504453553,862488654486610,0.4186554,7.4391327,5.615219
android.sensor.accelerometer,1537504453575,862488674780799,0.2702179,7.345764,5.5661316
android.sensor.accelerometer,1537504453595,862488695044471,0.29296875,7.3038635,5.728943
android.sensor.accelerometer,1537504453615,862488715338661,0.20677185,7.2799225,5.9372406
android.sensor.accelerometer,1537504453637,862488735602332,0.0463562,7.1254883,6.144333
android.sensor.accelerometer,1537504453656,862488755866004,-0.06376648,7.057266,6.250885
android.sensor.accelerometer,1537504453677,862488776160194,-0.08291626,7.1183167,6.021042
android.sensor.accelerometer,1537504453699,862488796423866,-0.08053589,7.2212677,5.7516937
android.sensor.accelerometer,1537504453719,862488816687537,0.018829346,7.25119,5.769638
android.sensor.accelerometer,1537504453738,862488836951209,0.08946228,7.297882,5.9539948
android.sensor.accelerometer,1537504453759,862488857245399,0.1325531,7.2835083,6.0437775
android.sensor.accelerometer,1537504453779,862488877509071,0.17324829,7.1865387,6.1036377
android.sensor.accelerometer,1537504453799,862488897772743,0.12776184,7.1290894,6.1347656
android.sensor.accelerometer,1537504453820,862488918036414,-0.09968567,7.1865387,5.950409
android.sensor.accelerometer,1537504453841,862488938300086,-0.61083984,7.3230133,5.9647675
android.sensor.accelerometer,1537504453861,862488958594276,-1.4284668,7.9395294,6.5537415
android.sensor.accelerometer,1537504453880,862488978857948,-2.5884552,9.511322,7.159485
android.sensor.accelerometer,1537504453901,862488999152137,-3.5473328,11.430267,7.622757
android.sensor.accelerometer,1537504453922,862489019415809,-2.6614838,12.616592,8.818665
android.sensor.accelerometer,1537504453941,862489039679481,-0.072143555,13.518005,10.73761
android.sensor.accelerometer,1537504453962,862489059973670,2.4788666,14.749832,12.363281
android.sensor.accelerometer,1537504453982,862489080237342,4.068619,15.337601,13.185684
android.sensor.accelerometer,1537504454002,862489100501014,5.922928,15.03833,13.93985
android.sensor.accelerometer,1537504454023,862489120764686,8.34227,14.546326,13.452637
android.sensor.accelerometer,1537504454042,862489141028358,9.873367,14.073471,11.391235
android.sensor.accelerometer,1537504454063,862489161322547,10.65387,13.489288,9.953506
android.sensor.accelerometer,1537504454083,862489181586219,10.529373,12.438232,9.7595825
android.sensor.accelerometer,1537504454102,862489201849891,9.15271,10.409149,9.261581
android.sensor.accelerometer,1537504454124,862489222113563,8.422485,8.868469,8.945557
android.sensor.accelerometer,1537504454144,862489242377235,8.054962,7.4618835,8.121948
android.sensor.accelerometer,1537504454165,862489262671424,6.757309,5.7751617,6.1551056
android.sensor.accelerometer,1537504454185,862489282965614,5.3088226,4.194992,3.9608307
android.sensor.accelerometer,1537504454205,862489303229286,4.66597,2.850647,2.6200714
android.sensor.accelerometer,1537504454226,862489323492957,4.0386963,1.4464417,1.677948
android.sensor.accelerometer,1537504454246,862489343787147,3.4030304,0.45884705,0.59217834
android.sensor.accelerometer,1537504454266,862489364050819,2.9732819,-0.10020447,-0.34753418
android.sensor.accelerometer,1537504454287,862489384314491,2.705124,-0.37313843,-0.75694275
android.sensor.accelerometer,1537504454307,862489404578162,2.4752808,-0.64967346,-0.6456146
android.sensor.accelerometer,1537504454326,862489424841834,2.6967468,-0.62931824,-0.543869
android.sensor.accelerometer,1537504454347,862489445136024,2.7601929,-0.525177,-0.44450378
android.sensor.accelerometer,1537504454365,862489465399696,2.6835785,-0.4569397,-0.46725464
android.sensor.accelerometer,1537504454386,862489485663368,2.1987457,-0.3551941,-0.60850525
android.sensor.accelerometer,1537504454407,862489505927039,1.1871948,-0.3085022,-0.133255
android.sensor.accelerometer,1537504454428,862489526190711,1.0626984,-0.14808655,0.108551025
android.sensor.accelerometer,1537504454448,862489546484901,1.7630005,0.6252289,-0.598938
android.sensor.accelerometer,1537504454469,862489566748573,1.8013153,1.5829163,-0.74139404
android.sensor.accelerometer,1537504454489,862489587042762,1.0040436,1.5003204,-0.4145813
android.sensor.accelerometer,1537504454508,862489607306434,-0.029052734,1.1902618,-0.15959167
android.sensor.accelerometer,1537504454528,862489627570106,-0.57014465,1.499115,0.37550354
android.sensor.accelerometer,1537504454548,862489647864295,-1.345871,1.4727783,0.5431061
android.sensor.accelerometer,1537504454569,862489668127967,-2.7548523,0.30560303,0.72865295
android.sensor.accelerometer,1537504454590,862489688391639,-4.374527,-0.53715515,3.0270844
android.sensor.accelerometer,1537504454610,862489708655311,-5.3358,-0.060699463,5.3961487
android.sensor.accelerometer,1537504454631,862489728918983,-5.5620575,0.5234833,6.681839
android.sensor.accelerometer,1537504454651,862489749213172,-6.0959625,-0.6377106,10.728043
android.sensor.accelerometer,1537504454672,862489769476844,-7.276306,-1.9221954,14.288208
android.sensor.accelerometer,1537504454692,862489789740516,-8.20047,-0.1026001,14.271454
android.sensor.accelerometer,1537504454712,862489810004188,-6.1318817,2.558548,14.054779
android.sensor.accelerometer,1537504454732,862489830267860,-3.9663239,4.080063,16.199982
android.sensor.accelerometer,1537504454752,862489850562049,-3.2731934,5.9511414,19.59256
android.sensor.accelerometer,1537504454773,862489870856239,-2.8578033,7.314636,21.420547
android.sensor.accelerometer,1537504454794,862489891119911,-2.46875,6.8417816,23.923676
android.sensor.accelerometer,1537504454813,862489911383582,-1.2788239,6.26239,26.832626
android.sensor.accelerometer,1537504454834,862489931677772,1.6325226,8.746368,25.633133
android.sensor.accelerometer,1537504454854,862489951941444,3.3778992,10.625824,23.38379
android.sensor.accelerometer,1537504454875,862489972205116,3.4437408,8.759537,24.82869
android.sensor.accelerometer,1537504454895,862489992468787,3.6436462,6.5568695,26.635117
android.sensor.accelerometer,1537504454914,862490012732459,5.3483276,6.53891,26.264008
android.sensor.accelerometer,1537504454936,862490033026649,8.831879,8.085571,24.892136
android.sensor.accelerometer,1537504454955,862490053290321,11.6019745,9.0073395,24.549759
android.sensor.accelerometer,1537504454976,862490073553993,11.852173,7.7539673,25.386536
android.sensor.accelerometer,1537504454996,862490093817664,11.345795,4.839035,25.815094
android.sensor.accelerometer,1537504455016,862490114081336,10.802307,1.9133148,25.355408
android.sensor.accelerometer,1537504455036,862490134375526,12.307068,1.0609741,22.973175
android.sensor.accelerometer,1537504455056,862490154669715,15.424316,2.2904053,19.029922
android.sensor.accelerometer,1537504455076,862490174933387,17.249893,3.5533447,16.009644
android.sensor.accelerometer,1537504455097,862490195197059,16.829712,3.3414612,14.812546
android.sensor.accelerometer,1537504455117,862490215491248,15.645782,2.3263092,12.702057
android.sensor.accelerometer,1537504455137,862490235754920,12.801468,1.9085236,10.298279
android.sensor.accelerometer,1537504455157,862490256018592,10.371353,1.8367004,8.374542
android.sensor.accelerometer,1537504455178,862490276282264,8.605637,2.2209778,7.4228363
android.sensor.accelerometer,1537504455199,862490296545936,7.8335114,2.2640686,6.4831085
android.sensor.accelerometer,1537504455218,862490316840125,6.563385,1.9863434,5.0202637
android.sensor.accelerometer,1537504455240,862490337103797,4.536682,1.4907379,3.6388092
