Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1537504437748,862472834674098,-0.13607788,-0.051345825,-0.04824829
android.sensor.gyroscope,1537504437762,862472854937770,-0.13500977,-0.08969116,-0.07914734
android.sensor.gyroscope,1537504437782,862472875231959,-0.16056824,-0.05241394,-0.080200195
android.sensor.gyroscope,1537504437804,862472895495631,-0.1967926,0.020019531,-0.06954956
android.sensor.gyroscope,1537504437827,862472915759303,-0.18188477,0.03919983,-0.05357361
android.sensor.gyroscope,1537504437844,862472936022975,-0.16270447,-0.0034179688,-0.03866577
android.sensor.gyroscope,1537504437864,862472956317164,-0.15524292,-0.063064575,-0.052505493
android.sensor.gyroscope,1537504437885,862472976611354,-0.14247131,-0.12059021,-0.07807922
android.sensor.gyroscope,1537504437905,862472996875026,-0.121154785,-0.14189148,-0.06742859
android.sensor.gyroscope,1537504437926,862473017138698,-0.11050415,-0.11740112,-0.042922974
android.sensor.gyroscope,1537504437945,862473037402369,-0.12754822,-0.049209595,-0.021621704
android.sensor.gyroscope,1537504437966,862473057696559,-0.16270447,0.007247925,-3.0517578E-4
android.sensor.gyroscope,1537504437986,862473077960231,-0.19572449,-0.01725769,7.4768066E-4
android.sensor.gyroscope,1537504438007,862473098223903,-0.24046326,-0.11633301,-0.0152282715
android.sensor.gyroscope,1537504438027,862473118487575,-0.28414917,-0.22817993,0.015670776
android.sensor.gyroscope,1537504438048,862473138751246,-0.34806824,-0.33258057,0.18185425
android.sensor.gyroscope,1537504438069,862473159045436,-0.35339355,-0.64256287,0.4449768
android.sensor.gyroscope,1537504438089,862473179309108,-0.0029144287,-1.119812,0.59410095
android.sensor.gyroscope,1537504438109,862473199572780,0.66819763,-1.2423096,0.44709778
android.sensor.gyroscope,1537504438130,862473219836451,1.3510284,-0.83218384,0.18717957
android.sensor.gyroscope,1537504438150,862473240130641,1.8985748,-0.21006775,0.09236145
android.sensor.gyroscope,1537504438171,862473260424830,2.2735596,0.23840332,0.08703613
android.sensor.gyroscope,1537504438190,862473280688502,2.439743,0.35559082,-0.025878906
android.sensor.gyroscope,1537504438210,862473300952174,2.4674377,0.16490173,-0.2953949
android.sensor.gyroscope,1537504438231,862473321215846,2.58461,-0.31446838,-0.58833313
android.sensor.gyroscope,1537504438251,862473341479518,2.804062,-0.8396454,-0.83973694
android.sensor.gyroscope,1537504438271,862473361743190,2.965973,-1.2508392,-1.0527954
android.sensor.gyroscope,1537504438291,862473382037379,2.9308167,-1.5906525,-1.2072601
android.sensor.gyroscope,1537504438312,862473402301051,2.7859497,-1.9059753,-1.3617249
android.sensor.gyroscope,1537504438331,862473422564723,2.7348175,-2.156311,-1.5673218
android.sensor.gyroscope,1537504438350,862473442828395,2.7507935,-2.2649689,-1.7356262
android.sensor.gyroscope,1537504438371,862473463122584,2.7795563,-2.205307,-1.8006134
android.sensor.gyroscope,1537504438392,862473483386256,2.7241669,-2.1041107,-1.7654572
android.sensor.gyroscope,1537504438413,862473503649928,2.5175018,-2.1627045,-1.6504059
android.sensor.gyroscope,1537504438432,862473523944118,2.153183,-2.3906708,-1.461853
android.sensor.gyroscope,1537504438455,862473544238307,1.7057648,-2.7038574,-1.2274933
android.sensor.gyroscope,1537504438471,862473564501979,1.1901855,-2.9126434,-1.0858154
android.sensor.gyroscope,1537504438494,862473584765651,0.6362457,-2.8955994,-1.1284332
android.sensor.gyroscope,1537504438514,862473605029323,0.22291565,-2.5973358,-1.2573242
android.sensor.gyroscope,1537504438535,862473625292994,-0.12754822,-2.0913239,-1.3574524
android.sensor.gyroscope,1537504438555,862473645587184,-0.4439392,-1.600235,-1.3436127
android.sensor.gyroscope,1537504438577,862473665850856,-0.61224365,-1.4479065,-1.2903442
android.sensor.gyroscope,1537504438595,862473686114528,-0.61117554,-1.7302094,-1.3084564
android.sensor.gyroscope,1537504438616,862473706378200,-0.5440674,-2.427948,-1.3127136
android.sensor.gyroscope,1537504438636,862473726641871,-0.650589,-3.0266266,-1.2083282
android.sensor.gyroscope,1537504438658,862473746936061,-0.8604584,-3.1320953,-0.9452057
android.sensor.gyroscope,1537504438675,862473767199733,-0.997879,-2.9477997,-0.5840759
android.sensor.gyroscope,1537504438697,862473787463405,-1.062851,-2.5994568,-0.3827362
android.sensor.gyroscope,1537504438718,862473807727076,-1.0735016,-2.1541748,-0.36676025
android.sensor.gyroscope,1537504438736,862473828021266,-1.2301025,-1.6385956,-0.23893738
android.sensor.gyroscope,1537504438757,862473848315455,-1.638092,-1.295578,0.13497925
android.sensor.gyroscope,1537504438777,862473868579127,-2.0716553,-1.4361877,0.402359
android.sensor.gyroscope,1537504438797,862473888842799,-2.2666016,-1.9997101,0.4055481
android.sensor.gyroscope,1537504438817,862473909106471,-2.339035,-2.600525,0.42686462
android.sensor.gyroscope,1537504438838,862473929370143,-2.4913788,-2.9158478,0.7773285
android.sensor.gyroscope,1537504438859,862473949664332,-2.4519653,-3.270584,1.1906586
android.sensor.gyroscope,1537504438878,862473969928004,-1.9054718,-3.7201233,1.0969086
android.sensor.gyroscope,1537504438898,862473990191676,-1.2663116,-3.4761658,0.46627808
android.sensor.gyroscope,1537504438919,862474010455348,-1.2588654,-2.2180939,0.4716034
android.sensor.gyroscope,1537504438939,862474030749537,-1.4197235,-1.0026245,1.2971802
android.sensor.gyroscope,1537504438958,862474051013209,-1.6103973,-0.73205566,2.0449982
android.sensor.gyroscope,1537504438982,862474071276881,-1.9342346,-0.83432007,2.218628
android.sensor.gyroscope,1537504439001,862474091540553,-1.857544,-0.5413666,2.2250214
android.sensor.gyroscope,1537504439021,862474111834743,-1.2716522,-0.01512146,2.5701752
android.sensor.gyroscope,1537504439042,862474132128932,-0.68788147,0.26609802,3.0378265
android.sensor.gyroscope,1537504439062,862474152392604,-0.28094482,0.34173584,3.333969
android.sensor.gyroscope,1537504439082,862474172656276,0.26446533,0.4141693,3.4703217
android.sensor.gyroscope,1537504439102,862474192919948,0.92385864,0.7358856,3.6258545
android.sensor.gyroscope,1537504439122,862474213183619,1.3542328,1.1481476,3.7877655
android.sensor.gyroscope,1537504439143,862474233477809,1.7174835,1.490097,3.7590027
android.sensor.gyroscope,1537504439162,862474253741481,2.295929,1.4868927,3.665268
android.sensor.gyroscope,1537504439183,862474274005153,2.7976685,1.3984833,3.6088104
android.sensor.gyroscope,1537504439204,862474294268825,2.7806244,1.697815,3.284958
android.sensor.gyroscope,1537504439225,862474314532496,2.4045868,1.9939575,2.7214355
android.sensor.gyroscope,1537504439244,862474334826686,2.2437286,2.0110016,2.2079773
android.sensor.gyroscope,1537504439265,862474355090358,2.3374634,2.0717316,1.8553772
android.sensor.gyroscope,1537504439285,862474375354030,2.4535828,2.1952972,1.6369934
android.sensor.gyroscope,1537504439305,862474395648219,2.634674,2.110077,1.4132996
android.sensor.gyroscope,1537504439328,862474415942409,2.761444,1.8842316,1.0010376
android.sensor.gyroscope,1537504439346,862474436206080,2.7198944,1.665863,0.46307373
android.sensor.gyroscope,1537504439363,862474456469752,2.441864,1.665863,0.056152344
android.sensor.gyroscope,1537504439386,862474476733424,2.172348,1.7659912,-0.10151672
android.sensor.gyroscope,1537504439405,862474496997096,2.1606293,1.7351074,-0.20378113
android.sensor.gyroscope,1537504439426,862474517291285,2.4461212,1.4645233,-0.3731537
android.sensor.gyroscope,1537504439447,862474537554957,2.7294922,1.1555939,-0.5968628
android.sensor.gyroscope,1537504439467,862474557818629,2.7486572,1.0426788,-0.80352783
android.sensor.gyroscope,1537504439488,862474578082301,2.5313416,1.1662445,-0.9260254
android.sensor.gyroscope,1537504439508,862474598345973,2.3534546,1.3761139,-0.98568726
android.sensor.gyroscope,1537504439528,862474618640162,2.3140411,1.3920898,-1.0251007
android.sensor.gyroscope,1537504439548,862474638903834,2.2671661,1.126831,-1.0187073
android.sensor.gyroscope,1537504439568,862474659167506,2.0551758,0.8690338,-0.9601135
android.sensor.gyroscope,1537504439589,862474679461696,1.7803345,0.63041687,-0.86317444
android.sensor.gyroscope,1537504439608,862474699725368,1.7121582,0.25331116,-0.7129669
android.sensor.gyroscope,1537504439628,862474720019557,1.7984467,-0.19515991,-0.6053772
android.sensor.gyroscope,1537504439650,862474740283229,1.6343994,-0.32725525,-0.614975
android.sensor.gyroscope,1537504439670,862474760546901,1.0580902,0.016830444,-0.54252625
android.sensor.gyroscope,1537504439689,862474780810573,0.4615326,0.34706116,-0.41363525
android.sensor.gyroscope,1537504439709,862474801074244,0.2346344,0.3672943,-0.38380432
android.sensor.gyroscope,1537504439731,862474821368434,0.22930908,0.14678955,-0.40724182
