Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1537504506138,862541220555739,-0.9843445,7.593567,5.863022
android.sensor.accelerometer,1537504506150,862541240819411,-0.9508209,7.5839844,5.807953
android.sensor.accelerometer,1537504506161,862541261083083,-0.8909607,7.5337067,5.847458
android.sensor.accelerometer,1537504506181,862541281346755,-0.840683,7.4894104,5.920471
android.sensor.accelerometer,1537504506202,862541301610427,-0.83828735,7.4259644,5.7516937
android.sensor.accelerometer,1537504506223,862541321874099,-0.8897705,7.3996277,5.5781097
android.sensor.accelerometer,1537504506244,862541342168288,-0.9795532,7.361328,5.50029
android.sensor.accelerometer,1537504506263,862541362462478,-1.0310211,7.277527,5.5373993
android.sensor.accelerometer,1537504506283,862541382726150,-1.0334167,7.2044983,5.5816956
android.sensor.accelerometer,1537504506303,862541402977635,-1.0441895,7.1781616,5.654724
android.sensor.accelerometer,1537504506325,862541423271825,-1.0836945,7.1374664,5.7193604
android.sensor.accelerometer,1537504506346,862541443535497,-1.0645447,7.1578217,5.6008453
android.sensor.accelerometer,1537504506365,862541463799169,-0.7844238,7.337387,5.5697327
android.sensor.accelerometer,1537504506385,862541484062840,-0.37980652,7.645035,5.531418
android.sensor.accelerometer,1537504506407,862541504357030,0.2474823,8.196899,5.472763
android.sensor.accelerometer,1537504506427,862541524620702,1.3093109,9.16655,5.6200104
android.sensor.accelerometer,1537504506447,862541544884374,2.100586,10.1697235,5.9923096
android.sensor.accelerometer,1537504506465,862541565148046,2.1436768,11.083115,6.563324
android.sensor.accelerometer,1537504506487,862541585411717,1.966507,12.520828,7.057724
android.sensor.accelerometer,1537504506508,862541605705907,1.7247009,14.402664,7.7304993
android.sensor.accelerometer,1537504506528,862541625969579,1.614563,15.936157,9.046112
android.sensor.accelerometer,1537504506548,862541646263768,1.5259857,16.87947,10.929153
android.sensor.accelerometer,1537504506569,862541666527440,0.77778625,16.67955,12.303421
android.sensor.accelerometer,1537504506589,862541686791112,-0.8897705,16.06186,12.266312
android.sensor.accelerometer,1537504506610,862541707085301,-3.1702423,14.966507,11.318207
android.sensor.accelerometer,1537504506629,862541727348973,-5.4794617,13.286972,10.180954
android.sensor.accelerometer,1537504506650,862541747612645,-6.808243,11.53801,8.347
android.sensor.accelerometer,1537504506669,862541767876317,-6.228836,10.96579,6.8542175
android.sensor.accelerometer,1537504506689,862541788170506,-5.702118,11.068741,6.1215973
android.sensor.accelerometer,1537504506710,862541808434178,-6.3413696,10.2690735,5.839081
android.sensor.accelerometer,1537504506730,862541828697850,-6.3413696,8.305832,6.0904694
android.sensor.accelerometer,1537504506751,862541848961522,-5.899643,5.989441,5.780411
android.sensor.accelerometer,1537504506771,862541869225194,-5.8828735,3.685028,4.74971
android.sensor.accelerometer,1537504506792,862541889519383,-6.002594,2.1395721,3.8231506
android.sensor.accelerometer,1537504506812,862541909783055,-6.2108765,1.396164,2.3231964
android.sensor.accelerometer,1537504506832,862541930077245,-6.5747986,0.6850891,-0.066223145
android.sensor.accelerometer,1537504506851,862541950340917,-6.3210144,0.3319397,-1.4764099
android.sensor.accelerometer,1537504506873,862541970604589,-5.5620575,0.07696533,-1.5494385
android.sensor.accelerometer,1537504506892,862541990898778,-4.853363,0.055419922,-0.90179443
android.sensor.accelerometer,1537504506913,862542011162450,-4.4978333,-0.17681885,-0.5235138
android.sensor.accelerometer,1537504506934,862542031426122,-3.7927399,-0.2785797,-0.36549377
android.sensor.accelerometer,1537504506954,862542051689794,-2.765625,-0.09780884,-0.24578857
android.sensor.accelerometer,1537504506974,862542071983983,-1.5457764,0.58213806,-0.306839
android.sensor.accelerometer,1537504506994,862542092247655,-0.20742798,1.2680817,-0.7785034
android.sensor.accelerometer,1537504507015,862542112511327,0.61857605,1.6152344,-1.3866272
android.sensor.accelerometer,1537504507035,862542132774999,0.7251129,1.8750153,-1.5254822
android.sensor.accelerometer,1537504507055,862542153038671,0.8184967,2.143158,-1.5314789
android.sensor.accelerometer,1537504507076,862542173332860,1.5128174,2.5370026,-1.5829468
android.sensor.accelerometer,1537504507095,862542193596532,2.5291443,3.0062714,-1.3794403
android.sensor.accelerometer,1537504507116,862542213890721,3.255783,3.4204712,-0.9065857
android.sensor.accelerometer,1537504507137,862542234154393,3.5371094,3.0984497,-0.2481842
android.sensor.accelerometer,1537504507156,862542254418065,4.0997467,3.2708282,0.23783875
android.sensor.accelerometer,1537504507176,862542274712255,5.0646057,4.3266754,0.5598602
android.sensor.accelerometer,1537504507197,862542294975926,5.5901337,5.13591,0.098983765
android.sensor.accelerometer,1537504507216,862542315239598,5.673935,5.534546,-0.20628357
