Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1537504485091,862520170333574,0.026916504,-0.15574646,-0.094055176
android.sensor.gyroscope,1537504485101,862520190627764,-0.045532227,-0.046020508,-0.020553589
android.sensor.gyroscope,1537504485117,862520210891436,-0.029541016,-0.05241394,0.046554565
android.sensor.gyroscope,1537504485139,862520231155108,0.006668091,-0.16853333,0.069992065
android.sensor.gyroscope,1537504485160,862520251449297,-0.052978516,-0.20262146,0.048690796
android.sensor.gyroscope,1537504485181,862520271712969,-0.15951538,-0.107803345,0.014602661
android.sensor.gyroscope,1537504485201,862520291976641,-0.19360352,0.010437012,-0.018417358
android.sensor.gyroscope,1537504485222,862520312240313,-0.17868042,0.085006714,-0.056762695
android.sensor.gyroscope,1537504485241,862520332503985,-0.1733551,0.12548828,-0.115356445
android.sensor.gyroscope,1537504485261,862520352798174,-0.11582947,0.11376953,-0.21443176
android.sensor.gyroscope,1537504485283,862520373061846,-0.0476532,0.1308136,-0.27835083
android.sensor.gyroscope,1537504485302,862520393325518,-0.060440063,0.22561646,-0.2772827
android.sensor.gyroscope,1537504485323,862520413589190,-0.10517883,0.34387207,-0.2719574
android.sensor.gyroscope,1537504485344,862520433883379,-0.14247131,0.41737366,-0.26556396
android.sensor.gyroscope,1537504485362,862520454177568,-0.1499176,0.32788086,-0.19631958
android.sensor.gyroscope,1537504485384,862520474441240,-0.06790161,0.124420166,0.010345459
android.sensor.gyroscope,1537504485403,862520494704912,0.17071533,-0.022583008,0.18824768
android.sensor.gyroscope,1537504485427,862520514968584,0.44236755,-0.022583008,0.1424408
android.sensor.gyroscope,1537504485444,862520535262774,0.64157104,0.14678955,0.0028839111
android.sensor.gyroscope,1537504485464,862520555526445,0.93878174,0.37049866,0.015670776
android.sensor.gyroscope,1537504485486,862520575790117,1.5278625,0.4376068,0.13711548
android.sensor.gyroscope,1537504485504,862520596053789,2.2096405,0.34173584,0.25428772
android.sensor.gyroscope,1537504485527,862520616317461,2.6282806,0.4653015,0.26387024
