Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1537504567084,862602179700900,-1.290802,9.255142,0.90940857
android.sensor.accelerometer,1537504567102,862602199964572,-1.2872009,9.317383,1.0770111
android.sensor.accelerometer,1537504567119,862602220228244,-1.2453156,9.414352,1.3068542
android.sensor.accelerometer,1537504567141,862602240491915,-1.2692566,9.530472,1.515152
android.sensor.accelerometer,1537504567161,862602260786105,-1.2728424,9.552017,1.717453
android.sensor.accelerometer,1537504567182,862602281049777,-1.2285461,9.512512,1.9736328
android.sensor.accelerometer,1537504567202,862602301343966,-1.1794739,9.439484,2.1017303
android.sensor.accelerometer,1537504567224,862602321607638,-1.1447449,9.359283,2.0813751
android.sensor.accelerometer,1537504567242,862602341871310,-1.0717316,9.360489,1.9808197
android.sensor.accelerometer,1537504567263,862602362165499,-0.9615936,9.370056,1.8347778
android.sensor.accelerometer,1537504567282,862602382429171,-0.88139343,9.30542,1.6360474
android.sensor.accelerometer,1537504567303,862602402692843,-0.85505676,9.238373,1.4924011
android.sensor.accelerometer,1537504567324,862602422956515,-0.8897705,9.250351,1.4229736
android.sensor.accelerometer,1537504567344,862602443220187,-1.1052551,9.378433,1.3619232
android.sensor.accelerometer,1537504567365,862602463514376,-1.4129028,9.791443,1.3690948
android.sensor.accelerometer,1537504567386,862602483778048,-1.4811401,10.943054,1.6432343
android.sensor.accelerometer,1537504567408,862602504041720,-1.563736,13.012833,2.1232758
android.sensor.accelerometer,1537504567426,862602524305392,-1.9132843,15.104172,2.53508
android.sensor.accelerometer,1537504567446,862602544599581,-2.5549316,16.69632,2.8092194
android.sensor.accelerometer,1537504567467,862602564863253,-3.5329742,17.46605,2.843933
android.sensor.accelerometer,1537504567487,862602585157443,-4.373337,17.354721,4.1260223
android.sensor.accelerometer,1537504567508,862602605421115,-5.3178406,16.555054,7.0074463
android.sensor.accelerometer,1537504567528,862602625684787,-6.496994,14.479279,9.879288
android.sensor.accelerometer,1537504567548,862602645978976,-7.0680084,11.788208,10.765152
android.sensor.accelerometer,1537504567569,862602666242648,-6.960266,9.297028,8.988647
android.sensor.accelerometer,1537504567588,862602686536837,-6.568817,7.5564575,5.7624664
android.sensor.accelerometer,1537504567609,862602706800509,-6.158203,6.4144135,2.6212616
android.sensor.accelerometer,1537504567628,862602727064181,-5.92836,4.8019257,1.1955261
android.sensor.accelerometer,1537504567648,862602747327853,-5.885269,3.0254211,2.3662872
android.sensor.accelerometer,1537504567669,862602767591525,-5.3884735,1.4117279,3.7657013
android.sensor.accelerometer,1537504567688,862602787855197,-5.5656433,-0.52996826,3.748932
android.sensor.accelerometer,1537504567710,862602808118869,-5.6015625,-1.9473267,2.1891174
android.sensor.accelerometer,1537504567727,862602828413058,-4.3015137,-2.3136444,0.34558105
android.sensor.accelerometer,1537504567749,862602848676730,-2.0701141,-1.9880371,-0.69589233
android.sensor.accelerometer,1537504567769,862602868970919,-0.029052734,-1.5439148,-1.3590851
android.sensor.accelerometer,1537504567790,862602889234591,1.0267944,-1.3523712,-2.0629883
android.sensor.accelerometer,1537504567810,862602909528781,2.2957153,-1.1656189,-2.5502014
android.sensor.accelerometer,1537504567831,862602929792453,3.7932892,-0.9836731,-2.7513275
android.sensor.accelerometer,1537504567851,862602950056124,5.1771393,-0.564682,-2.7297668
android.sensor.accelerometer,1537504567871,862602970319796,6.9296875,0.38700867,-2.7357635
android.sensor.accelerometer,1537504567891,862602990583468,9.398117,1.5553894,-2.6411896
android.sensor.accelerometer,1537504567911,862603010877658,10.77597,2.4017334,-3.6479492
android.sensor.accelerometer,1537504567931,862603031141330,11.455933,3.1882324,-5.1036224
android.sensor.accelerometer,1537504567953,862603051405001,12.181381,4.108795,-3.8382874
android.sensor.accelerometer,1537504567974,862603071668673,11.582825,3.7029877,-1.0131226
android.sensor.accelerometer,1537504567994,862603091932345,12.283127,2.7500916,1.4959869
android.sensor.accelerometer,1537504568015,862603112226535,15.760712,4.290756,0.24382019
android.sensor.accelerometer,1537504568034,862603132490206,17.94542,5.949936,-3.0350342
android.sensor.accelerometer,1537504568054,862603152784396,19.006042,6.349777,-3.5461884
android.sensor.accelerometer,1537504568075,862603173048068,19.59262,6.344986,-2.0701752
android.sensor.accelerometer,1537504568095,862603193342257,18.032806,5.6075745,-0.385849
android.sensor.accelerometer,1537504568115,862603213605929,16.032455,4.1291504,1.1931305
android.sensor.accelerometer,1537504568135,862603233869601,15.436295,3.8418427,2.231018
android.sensor.accelerometer,1537504568156,862603254133273,16.021667,4.2392883,2.3662872
android.sensor.accelerometer,1537504568176,862603274396945,15.965408,4.5756683,2.0622253
android.sensor.accelerometer,1537504568196,862603294691134,15.031677,4.250061,2.2501678
android.sensor.accelerometer,1537504568217,862603314954806,13.22644,3.1259766,2.4704285
android.sensor.accelerometer,1537504568238,862603335218478,11.376923,2.000702,2.9923706
android.sensor.accelerometer,1537504568257,862603355482150,10.133133,1.2800446,3.910553
android.sensor.accelerometer,1537504568278,862603375745822,8.889343,0.7210083,4.902939
android.sensor.accelerometer,1537504568297,862603396040011,6.93808,-0.39588928,5.1974335
android.sensor.accelerometer,1537504568317,862603416303683,4.737808,-1.8108673,5.819916
android.sensor.accelerometer,1537504568338,862603436597872,2.942154,-3.0031738,6.678238
android.sensor.accelerometer,1537504568357,862603456861544,1.6504822,-3.0199432,7.1714478
android.sensor.accelerometer,1537504568379,862603477155734,1.4469757,-2.7398071,7.313904
android.sensor.accelerometer,1537504568400,862603497419406,1.8288422,-2.584198,8.473892
android.sensor.accelerometer,1537504568419,862603517683078,2.156845,-2.7649536,11.141037
android.sensor.accelerometer,1537504568440,862603537946749,1.1979675,-2.691925,13.01091
android.sensor.accelerometer,1537504568460,862603558210421,-0.41452026,-2.0407104,12.220825
android.sensor.accelerometer,1537504568481,862603578474093,-1.7863922,-1.9197998,11.099136
android.sensor.accelerometer,1537504568501,862603598768283,-2.2532654,-2.9085999,12.160965
android.sensor.accelerometer,1537504568521,862603619031955,-1.2632599,-3.3766785,14.887955
android.sensor.accelerometer,1537504568541,862603639295626,0.16847229,-3.0259247,16.560318
android.sensor.accelerometer,1537504568561,862603659589816,1.9736938,-2.4237823,17.212738
android.sensor.accelerometer,1537504568581,862603679853488,3.546692,-1.7629852,17.345612
android.sensor.accelerometer,1537504568600,862603700117160,4.9065857,-1.2147064,17.374344
android.sensor.accelerometer,1537504568621,862603720380831,6.022293,-0.9369812,18.916199
android.sensor.accelerometer,1537504568642,862603740675021,6.4496613,-0.97050476,21.019516
android.sensor.accelerometer,1537504568662,862603760938693,8.414093,-0.7897339,22.22499
android.sensor.accelerometer,1537504568683,862603781232882,10.011032,-0.26062012,23.36702
android.sensor.accelerometer,1537504568703,862603801496554,10.986664,0.020706177,22.02507
android.sensor.accelerometer,1537504568724,862603821760226,12.093979,0.06858826,19.743408
android.sensor.accelerometer,1537504568743,862603842023898,12.389664,-0.1600647,18.810867
android.sensor.accelerometer,1537504568764,862603862318087,12.145462,-0.69755554,17.723892
android.sensor.accelerometer,1537504568786,862603882581759,11.824646,-1.303299,16.505249
android.sensor.accelerometer,1537504568805,862603902845431,11.405655,-2.094574,15.725937
android.sensor.accelerometer,1537504568825,862603923109103,11.417618,-2.6979218,14.928665
android.sensor.accelerometer,1537504568845,862603943403292,10.896881,-3.4245605,14.586288
android.sensor.accelerometer,1537504568867,862603963666964,9.620773,-4.236191,14.128998
android.sensor.accelerometer,1537504568885,862603983930636,8.466766,-4.853897,13.943451
android.sensor.accelerometer,1537504568906,862604004194308,8.551758,-5.077759,13.896759
android.sensor.accelerometer,1537504568926,862604024490004,8.842667,-4.806015,12.923523
android.sensor.accelerometer,1537504568945,862604044784194,8.787598,-4.197876,11.205673
android.sensor.accelerometer,1537504568967,862604065047866,8.548172,-3.5394745,10.200119
android.sensor.accelerometer,1537504568985,862604085311538,7.955612,-3.20549,9.754791
android.sensor.accelerometer,1537504569007,862604105575210,7.1739044,-3.0486603,8.645081
android.sensor.accelerometer,1537504569028,862604125869399,6.072571,-2.88826,6.6136017
android.sensor.accelerometer,1537504569046,862604146133071,4.8742676,-2.4956055,4.6874695
android.sensor.accelerometer,1537504569065,862604166396743,4.0386963,-1.9377594,3.9021606
android.sensor.accelerometer,1537504569087,862604186660415,3.891449,-1.3607483,4.17511
android.sensor.accelerometer,1537504569107,862604206924087,3.9405365,-0.88430786,4.773651
android.sensor.accelerometer,1537504569129,862604227218276,3.6113281,-0.42103577,5.1615143
android.sensor.accelerometer,1537504569150,862604247481948,2.9098358,0.09492493,5.32312
android.sensor.accelerometer,1537504569169,862604267745620,1.8707428,0.7006531,5.4584045
android.sensor.accelerometer,1537504569190,862604288009292,1.1824188,1.6260071,5.3039703
android.sensor.accelerometer,1537504569210,862604308303481,0.4461975,2.2820282,5.2249603
android.sensor.accelerometer,1537504569231,862604328597671,0.10621643,2.8470612,5.685852
android.sensor.accelerometer,1537504569251,862604348861342,-0.13679504,3.3067474,6.2855988
android.sensor.accelerometer,1537504569270,862604369125014,-0.6659088,3.6108093,6.207779
android.sensor.accelerometer,1537504569290,862604389388686,-1.2189789,4.021408,6.092865
android.sensor.accelerometer,1537504569309,862604409682876,-0.19186401,4.4858856,7.3210907
android.sensor.accelerometer,1537504569330,862604429946547,0.7753906,4.9874725,8.724091
