Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1537504585981,862621066166446,-0.0135650635,0.049850464,-0.0066986084
android.sensor.gyroscope,1537504585993,862621086430118,-0.005050659,0.0370636,0.017791748
android.sensor.gyroscope,1537504586014,862621106693789,-0.027420044,0.087142944,-0.013092041
android.sensor.gyroscope,1537504586034,862621126987979,-0.099853516,0.16703796,-0.03227234
android.sensor.gyroscope,1537504586055,862621147251651,-0.14247131,0.2011261,-0.051437378
android.sensor.gyroscope,1537504586077,862621167515323,-0.14352417,0.20324707,-0.082336426
android.sensor.gyroscope,1537504586096,862621187809512,-0.17123413,0.2138977,-0.12388611
android.sensor.gyroscope,1537504586117,862621208103701,-0.22769165,0.23200989,-0.15158081
android.sensor.gyroscope,1537504586137,862621228367373,-0.25112915,0.20431519,-0.16862488
android.sensor.gyroscope,1537504586158,862621248631045,-0.23408508,0.15104675,-0.16329956
android.sensor.gyroscope,1537504586178,862621268894717,-0.24578857,0.11695862,-0.13240051
android.sensor.gyroscope,1537504586200,862621289158389,-0.3214264,0.1116333,-0.10684204
android.sensor.gyroscope,1537504586220,862621309422061,-0.3874817,0.13720703,-0.10470581
android.sensor.gyroscope,1537504586240,862621329685733,-0.45565796,0.22135925,-0.11856079
android.sensor.gyroscope,1537504586259,862621349979922,-0.535553,0.34812927,-0.13346863
android.sensor.gyroscope,1537504586279,862621370243594,-0.5589905,0.35238647,-0.14732361
android.sensor.gyroscope,1537504586300,862621390507266,-0.5121155,0.139328,-0.15690613
android.sensor.gyroscope,1537504586321,862621410801147,-0.4013214,-0.22071838,-0.1462555
android.sensor.gyroscope,1537504586342,862621431064819,-0.24473572,-0.5530853,-0.16862488
android.sensor.gyroscope,1537504586361,862621451328491,-0.015701294,-0.7512207,-0.29751587
android.sensor.gyroscope,1537504586382,862621471622681,0.22718811,-0.80448914,-0.66290283
android.sensor.gyroscope,1537504586402,862621491886352,0.5467682,-0.60528564,-1.2477417
android.sensor.gyroscope,1537504586421,862621512180542,0.960083,-0.2217865,-1.6951447
android.sensor.gyroscope,1537504586442,862621532444214,1.4437103,-0.033233643,-1.7761078
android.sensor.gyroscope,1537504586462,862621552707886,2.0328064,-0.05455017,-1.5566559
android.sensor.gyroscope,1537504586482,862621572971558,2.5260162,0.032806396,-1.1017914
android.sensor.gyroscope,1537504586503,862621593265747,2.804062,0.3545227,-0.43493652
android.sensor.gyroscope,1537504586523,862621613529419,2.8914032,0.7774353,0.19036865
android.sensor.gyroscope,1537504586544,862621633793091,2.8253632,1.3292389,0.48225403
android.sensor.gyroscope,1537504586564,862621654056763,2.6495972,1.9396362,0.5770569
android.sensor.gyroscope,1537504586583,862621674350952,2.412033,2.575592,0.8156891
android.sensor.gyroscope,1537504586604,862621694614624,2.202179,3.1306,1.263092
android.sensor.gyroscope,1537504586625,862621714878296,2.0040436,3.3138275,1.8117065
android.sensor.gyroscope,1537504586645,862621735141968,1.8272095,3.0954437,2.3049164
android.sensor.gyroscope,1537504586666,862621755436157,1.5225372,2.9367218,2.6266327
android.sensor.gyroscope,1537504586686,862621775730347,0.78538513,3.0645447,2.8343506
android.sensor.gyroscope,1537504586704,862621795994018,-0.34806824,3.289322,3.0900269
android.sensor.gyroscope,1537504586724,862621816257690,-1.5443573,3.3383179,3.33609
android.sensor.gyroscope,1537504586744,862621836521362,-2.5893707,3.2871857,3.3542023
android.sensor.gyroscope,1537504586766,862621856815552,-3.2200165,2.9654846,3.300949
android.sensor.gyroscope,1537504586786,862621877079224,-3.0730133,1.9119415,3.5544739
android.sensor.gyroscope,1537504586806,862621897342895,-2.2996216,0.7763672,3.924118
android.sensor.gyroscope,1537504586827,862621917606567,-1.5337067,-0.19941711,3.603485
android.sensor.gyroscope,1537504586847,862621937870239,-1.2929535,-1.0953064,2.711853
android.sensor.gyroscope,1537504586867,862621958164429,-1.6327667,-1.5533752,1.7776184
android.sensor.gyroscope,1537504586888,862621978428101,-2.4285278,-1.4724121,0.5973053
android.sensor.gyroscope,1537504586907,862621998691772,-3.279663,-1.5789337,-0.73854065
android.sensor.gyroscope,1537504586929,862622018955444,-3.5832672,-2.3118439,-2.0157928
android.sensor.gyroscope,1537504586950,862622039249634,-3.6056366,-2.7965393,-3.0320587
android.sensor.gyroscope,1537504586969,862622059543823,-3.4778137,-2.77417,-3.6626892
android.sensor.gyroscope,1537504586990,862622079807495,-3.2690125,-2.8913422,-3.786255
android.sensor.gyroscope,1537504587009,862622100071167,-3.103897,-3.190689,-3.4645538
android.sensor.gyroscope,1537504587029,862622120334839,-2.8290558,-3.3419495,-2.9585571
android.sensor.gyroscope,1537504587051,862622140629028,-2.7587585,-3.3675232,-2.5686646
android.sensor.gyroscope,1537504587070,862622160892700,-2.9963074,-3.4868317,-2.289566
android.sensor.gyroscope,1537504587091,862622181156372,-3.0985718,-3.6583252,-1.7792969
android.sensor.gyroscope,1537504587111,862622201420044,-3.1731415,-3.5656586,-1.0261536
android.sensor.gyroscope,1537504587131,862622221683716,-3.6951294,-3.2098541,-0.20697021
android.sensor.gyroscope,1537504587151,862622241977905,-4.4194946,-2.7347412,0.37145996
android.sensor.gyroscope,1537504587172,862622262241577,-4.841339,-2.5014496,0.5962372
android.sensor.gyroscope,1537504587192,862622282505249,-5.363327,-2.316101,0.9307251
android.sensor.gyroscope,1537504587213,862622302768921,-5.8959656,-2.2330017,1.8553772
android.sensor.gyroscope,1537504587233,862622323063110,-5.3228455,-2.5962677,3.0857544
android.sensor.gyroscope,1537504587252,862622343357300,-3.801651,-2.6612396,4.021057
android.sensor.gyroscope,1537504587273,862622363620972,-2.5062866,-1.7046356,4.49617
android.sensor.gyroscope,1537504587294,862622383884643,-2.06633,-0.13444519,4.9361267
android.sensor.gyroscope,1537504587314,862622404148315,-2.2016144,1.4634552,5.2791443
android.sensor.gyroscope,1537504587334,862622424442505,-2.051422,2.5660095,4.9180145
android.sensor.gyroscope,1537504587354,862622444706177,-1.2290344,3.0219421,3.7994843
android.sensor.gyroscope,1537504587375,862622464969849,-0.535553,3.4938507,3.1177216
android.sensor.gyroscope,1537504587395,862622485233520,0.11746216,3.625946,3.39682
android.sensor.gyroscope,1537504587414,862622505527710,1.5385284,2.7439117,3.8996277
android.sensor.gyroscope,1537504587435,862622525791382,2.9862213,1.9268494,3.8729858
android.sensor.gyroscope,1537504587455,862622546055054,3.5529327,1.7095337,3.333969
android.sensor.gyroscope,1537504587476,862622566318726,3.4219055,2.1015472,2.7864227
android.sensor.gyroscope,1537504587496,862622586582397,3.285553,2.6906433,2.5041199
android.sensor.gyroscope,1537504587516,862622606876587,3.701004,2.639511,2.2942657
android.sensor.gyroscope,1537504587537,862622627170776,4.480789,2.0056763,2.0481873
android.sensor.gyroscope,1537504587557,862622647434448,5.0592194,1.5156555,1.6668243
