Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1537504544717,862579798939848,0.090652466,10.0979,0.64245605
android.sensor.accelerometer,1537504544724,862579819203519,-0.073349,10.223587,0.51916504
android.sensor.accelerometer,1537504544739,862579839467191,-0.0446167,10.178101,0.65922546
android.sensor.accelerometer,1537504544760,862579859730863,-0.09729004,10.079941,0.9369507
android.sensor.accelerometer,1537504544780,862579880025053,-0.14277649,9.834534,1.2158661
android.sensor.accelerometer,1537504544801,862579900288725,-0.2720642,9.538849,1.4708557
android.sensor.accelerometer,1537504544822,862579920552396,-0.36305237,9.3437195,1.4696503
android.sensor.accelerometer,1537504544842,862579940816068,-0.30677795,9.299423,1.1332703
android.sensor.accelerometer,1537504544861,862579961110258,-0.18586731,9.294647,0.6460571
android.sensor.accelerometer,1537504544883,862579981404447,-0.036239624,9.251541,0.39704895
android.sensor.accelerometer,1537504544904,862580001668119,0.09425354,9.185699,0.51316833
android.sensor.accelerometer,1537504544924,862580021931791,0.2474823,9.198868,0.6616211
android.sensor.accelerometer,1537504544943,862580042195463,0.28936768,9.285065,0.6173248
android.sensor.accelerometer,1537504544963,862580062489652,0.27261353,9.268311,0.42578125
android.sensor.accelerometer,1537504544984,862580082753324,0.28219604,9.213242,0.36593628
android.sensor.accelerometer,1537504545004,862580103016996,0.32409668,9.06958,0.4988098
android.sensor.accelerometer,1537504545025,862580123280668,0.79455566,8.916351,0.73703
android.sensor.accelerometer,1537504545046,862580143574857,1.6193542,8.899597,0.7717438
android.sensor.accelerometer,1537504545065,862580163838529,2.1053772,8.844528,0.64964294
android.sensor.accelerometer,1537504545086,862580184102201,2.8056793,8.939102,0.67837524
android.sensor.accelerometer,1537504545107,862580204365873,3.7142792,9.195282,0.9680786
android.sensor.accelerometer,1537504545125,862580224629545,4.449295,9.340134,1.1655884
android.sensor.accelerometer,1537504545145,862580244923734,5.1819305,9.474213,1.0303192
android.sensor.accelerometer,1537504545167,862580265217924,5.9815826,9.868057,0.79808044
android.sensor.accelerometer,1537504545188,862580285481596,6.8710327,10.337311,0.30726624
android.sensor.accelerometer,1537504545209,862580305745267,7.0841217,10.333725,-0.43493652
android.sensor.accelerometer,1537504545228,862580326008939,6.3048096,9.954239,-0.68751526
android.sensor.accelerometer,1537504545248,862580346303129,5.611679,9.512512,0.43177795
android.sensor.accelerometer,1537504545269,862580366566801,5.2094574,9.074371,2.3662872
android.sensor.accelerometer,1537504545289,862580386830473,5.0753784,8.868469,3.6723175
