Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1537504537685,862572777162288,-0.019958496,-0.043884277,0.0018157959
android.sensor.gyroscope,1537504537705,862572797425960,-0.024215698,-0.05027771,0.0018157959
android.sensor.gyroscope,1537504537725,862572817720149,-0.010375977,-0.034301758,0.0018157959
android.sensor.gyroscope,1537504537746,862572838014339,-0.015701294,0.0093688965,0.006088257
android.sensor.gyroscope,1537504537766,862572858278010,-0.034866333,0.0370636,0.025253296
android.sensor.gyroscope,1537504537787,862572878541682,-0.031677246,-0.0066070557,0.052947998
android.sensor.gyroscope,1537504537807,862572898805354,-0.003982544,-0.06732178,0.072128296
android.sensor.gyroscope,1537504537827,862572919099544,0.025848389,-0.08329773,0.07319641
android.sensor.gyroscope,1537504537846,862572939363216,0.022644043,-0.04815674,0.050827026
android.sensor.gyroscope,1537504537867,862572959626887,-0.029541016,-0.009796143,0.030578613
android.sensor.gyroscope,1537504537888,862572979890559,-0.066833496,-0.013000488,-3.0517578E-4
android.sensor.gyroscope,1537504537908,862573000154231,-0.06150818,-0.01725769,-0.06742859
android.sensor.gyroscope,1537504537929,862573020448421,-0.0945282,0.063705444,-0.1313324
android.sensor.gyroscope,1537504537950,862573040712092,-0.13926697,0.16064453,-0.16542053
android.sensor.gyroscope,1537504537971,862573060975764,-0.13607788,0.17662048,-0.16329956
android.sensor.gyroscope,1537504537991,862573081239436,-0.09559631,0.124420166,-0.1313324
android.sensor.gyroscope,1537504538011,862573101533626,-0.08387756,0.05091858,-0.08659363
android.sensor.gyroscope,1537504538031,862573121827815,-0.17974854,0.06689453,-0.06210327
android.sensor.gyroscope,1537504538051,862573142091487,-0.35551453,0.17341614,-0.056762695
android.sensor.gyroscope,1537504538071,862573162355159,-0.46310425,0.18301392,-0.037597656
android.sensor.gyroscope,1537504538092,862573182618831,-0.46417236,0.085006714,0.048690796
android.sensor.gyroscope,1537504538113,862573202913020,-0.39067078,-0.05027771,0.11260986
android.sensor.gyroscope,1537504538133,862573223176692,-0.27775574,-0.16532898,0.052947998
android.sensor.gyroscope,1537504538153,862573243440364,-0.10838318,-0.39968872,-0.017349243
android.sensor.gyroscope,1537504538172,862573263704036,0.2303772,-0.9291229,-0.030136108
android.sensor.gyroscope,1537504538194,862573283967708,0.76727295,-1.6705475,-0.21655273
android.sensor.gyroscope,1537504538214,862573304261897,1.1486359,-2.2170258,-0.57128906
android.sensor.gyroscope,1537504538234,862573324525569,0.89190674,-2.1797485,-0.5734253
android.sensor.gyroscope,1537504538254,862573344789241,0.5105438,-1.9698944,-0.32202148
android.sensor.gyroscope,1537504538273,862573365052913,0.5733948,-2.2447205,-0.22827148
android.sensor.gyroscope,1537504538294,862573385347102,0.62771606,-2.6889496,-0.35717773
android.sensor.gyroscope,1537504538315,862573405641292,0.35714722,-2.763504,-0.46476746
android.sensor.gyroscope,1537504538335,862573425904964,0.003479004,-2.473755,-0.4615631
android.sensor.gyroscope,1537504538355,862573446168635,-0.017822266,-2.3182373,-0.43707275
android.sensor.gyroscope,1537504538377,862573466432307,0.32092285,-2.6271515,-0.5009918
android.sensor.gyroscope,1537504538396,862573486726497,0.49349976,-3.0990753,-0.5372009
android.sensor.gyroscope,1537504538417,862573506990169,0.26020813,-3.2428741,-0.53826904
android.sensor.gyroscope,1537504538437,862573527253841,-0.088134766,-2.9808197,-0.5606384
android.sensor.gyroscope,1537504538457,862573547517512,-0.22662354,-2.8924103,-0.53401184
android.sensor.gyroscope,1537504538478,862573567811702,-0.2010498,-3.1203766,-0.56703186
android.sensor.gyroscope,1537504538498,862573588075374,-0.20744324,-3.0394135,-0.6522522
android.sensor.gyroscope,1537504538518,862573608339046,-0.2159729,-2.6154327,-0.58833313
android.sensor.gyroscope,1537504538538,862573628602717,-0.17228699,-2.2330017,-0.41896057
android.sensor.gyroscope,1537504538559,862573648866389,-0.17228699,-1.8239441,-0.3592987
android.sensor.gyroscope,1537504538580,862573669160579,-0.21704102,-1.3328552,-0.26768494
android.sensor.gyroscope,1537504538599,862573689454768,-0.11689758,-1.1251373,-0.05357361
android.sensor.gyroscope,1537504538619,862573709718440,0.11853027,-1.2497711,0.15202332
android.sensor.gyroscope,1537504538639,862573729982112,0.2111969,-1.1379242,0.1701355
android.sensor.gyroscope,1537504538660,862573750245784,0.06951904,-0.51153564,0.09875488
android.sensor.gyroscope,1537504538682,862573770539973,-0.14884949,0.186203,0.06359863
android.sensor.gyroscope,1537504538700,862573790803645,-0.22981262,0.51538086,0.12112427
android.sensor.gyroscope,1537504538720,862573811067317,-0.109436035,0.6048584,0.2521515
