Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1537504600136,862635223917758,-2.346634,5.4411774,7.647888
android.sensor.accelerometer,1537504600145,862635244181430,-2.3119202,5.4351807,7.7245026
android.sensor.accelerometer,1537504600163,862635264475619,-2.3250885,5.4148407,7.69339
android.sensor.accelerometer,1537504600184,862635284739291,-2.3155212,5.4351807,7.5784607
android.sensor.accelerometer,1537504600205,862635305002963,-2.3238983,5.4304047,7.564102
android.sensor.accelerometer,1537504600226,862635325266635,-2.4064941,5.408844,7.3964996
android.sensor.accelerometer,1537504600246,862635345530307,-2.398117,5.384903,7.3390503
android.sensor.accelerometer,1537504600268,862635365824496,-2.460373,5.3082886,7.3019257
android.sensor.accelerometer,1537504600287,862635386088168,-2.6064148,5.194565,7.169052
android.sensor.accelerometer,1537504600308,862635406351840,-2.7464752,5.1526794,7.074478
android.sensor.accelerometer,1537504600329,862635426615512,-2.666275,5.328644,7.105606
android.sensor.accelerometer,1537504600350,862635446879184,-2.0437775,5.9032593,7.329468
android.sensor.accelerometer,1537504600370,862635467173373,-0.5162811,7.8018494,8.282364
android.sensor.accelerometer,1537504600390,862635487467563,3.91539,11.899536,10.295883
android.sensor.accelerometer,1537504600410,862635507731235,13.847733,18.705048,13.319763
android.sensor.accelerometer,1537504600430,862635527994906,24.25174,23.410858,19.287308
android.sensor.accelerometer,1537504600449,862635548289096,23.370682,18.573364,23.080917
android.sensor.accelerometer,1537504600469,862635568552768,12.760773,6.925583,18.992813
android.sensor.accelerometer,1537504600491,862635588816440,4.0554504,-5.6104584,11.248779
android.sensor.accelerometer,1537504600510,862635609080111,-5.785919,-18.460144,4.674301
android.sensor.accelerometer,1537504600531,862635629343783,-21.815094,-31.363693,2.4752197
android.sensor.accelerometer,1537504600552,862635649637973,-37.613235,-39.98163,1.6037292
android.sensor.accelerometer,1537504600571,862635669901645,-39.157486,-39.703888,3.0067291
android.sensor.accelerometer,1537504600592,862635690165317,-23.084015,-33.285034,0.66760254
android.sensor.accelerometer,1537504600612,862635710428988,-1.7540741,-21.102142,-1.5530243
android.sensor.accelerometer,1537504600631,862635730723178,20.825638,-0.041549683,2.5733795
android.sensor.accelerometer,1537504600652,862635750986850,39.027557,28.864853,12.426727
android.sensor.accelerometer,1537504600672,862635771281039,39.027557,38.430878,20.291672
android.sensor.accelerometer,1537504600693,862635791544711,37.064316,38.311172,23.551376
android.sensor.accelerometer,1537504600713,862635811838901,25.718185,28.468613,16.202377
android.sensor.accelerometer,1537504600733,862635832102572,12.102371,10.556381,5.907303
android.sensor.accelerometer,1537504600754,862635852366244,0.94059753,-3.7046814,-0.7258301
android.sensor.accelerometer,1537504600774,862635872629916,-11.139343,-18.375153,-4.1651
android.sensor.accelerometer,1537504600793,862635892893588,-26.792633,-31.673737,-4.3853607
android.sensor.accelerometer,1537504600814,862635913187777,-39.360992,-40.019928,6.5381775
android.sensor.accelerometer,1537504600835,862635933451449,-36.76329,-39.897827,11.975418
android.sensor.accelerometer,1537504600857,862635953715121,-16.903381,-29.416016,3.783661
android.sensor.accelerometer,1537504600876,862635973978793,5.2010803,-10.051712,-0.6001282
android.sensor.accelerometer,1537504600896,862635994242465,24.620453,12.326904,4.5569763
android.sensor.accelerometer,1537504600916,862636014536654,39.027557,34.705505,15.771423
android.sensor.accelerometer,1537504600937,862636034800326,39.027557,38.430878,27.464706
android.sensor.accelerometer,1537504600957,862636055094516,30.625107,37.323563,32.5045
android.sensor.accelerometer,1537504600977,862636075358188,20.180405,24.884491,24.47435
android.sensor.accelerometer,1537504600996,862636095652377,9.112015,7.2212677,10.890839
android.sensor.accelerometer,1537504601017,862636115916049,-1.3614349,-6.5358276,-1.3686676
android.sensor.accelerometer,1537504601039,862636136179721,-12.225113,-18.680405,-8.618317
android.sensor.accelerometer,1537504601058,862636156443393,-24.68454,-29.699722,-10.856888
android.sensor.accelerometer,1537504601079,862636176707065,-33.642456,-38.75699,-2.9057465
android.sensor.accelerometer,1537504601099,862636197001254,-35.14601,-39.938522,5.440445
android.sensor.accelerometer,1537504601119,862636217264926,-21.345825,-28.829437,0.46289062
android.sensor.accelerometer,1537504601139,862636237528598,8.955185,-5.7888336,-3.9208832
android.sensor.accelerometer,1537504601160,862636257792270,33.84651,18.661957,4.6096497
android.sensor.accelerometer,1537504601180,862636278086459,39.027557,33.510788,23.56694
android.sensor.accelerometer,1537504601200,862636298350131,31.379288,33.206726,35.22551
android.sensor.accelerometer,1537504601221,862636318613803,15.287857,25.138275,30.648987
android.sensor.accelerometer,1537504601240,862636338877475,7.5222626,16.632874,18.874313
android.sensor.accelerometer,1537504601262,862636359171664,4.1967163,9.2491455,7.098419
android.sensor.accelerometer,1537504601282,862636379465854,-0.11883545,3.4922943,1.2362213
android.sensor.accelerometer,1537504601302,862636399729526,-6.2348175,-0.9178314,0.09298706
android.sensor.accelerometer,1537504601321,862636419993197,-8.799011,-3.5634155,0.9980011
android.sensor.accelerometer,1537504601342,862636440256869,-9.52565,-4.7533417,3.2724915
android.sensor.accelerometer,1537504601362,862636460551059,-8.900772,-3.7896729,4.7748566
android.sensor.accelerometer,1537504601383,862636480814731,-7.0045624,-1.2015381,4.1655273
android.sensor.accelerometer,1537504601402,862636501078402,-5.41362,1.9624023,2.9612427
android.sensor.accelerometer,1537504601421,862636521342074,-3.215744,4.1890106,3.3886108
android.sensor.accelerometer,1537504601443,862636541605746,-2.8350525,5.645874,4.227783
