Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1537504617398,862652468361920,0.57125854,0.06689453,-0.030136108
android.sensor.gyroscope,1537504617398,862652488625592,0.7065582,-0.058807373,-0.0035095215
android.sensor.gyroscope,1537504617415,862652508889263,0.7736664,-0.18237305,0.02418518
android.sensor.gyroscope,1537504617436,862652529183453,0.7811127,-0.25268555,0.014602661
android.sensor.gyroscope,1537504617457,862652549447125,0.6894989,-0.26013184,-0.031204224
android.sensor.gyroscope,1537504617478,862652569710797,0.52012634,-0.20367432,-0.08872986
android.sensor.gyroscope,1537504617498,862652589974469,0.29322815,-0.074783325,-0.09724426
android.sensor.gyroscope,1537504617520,862652610238140,0.014129639,0.04559326,-0.037597656
android.sensor.gyroscope,1537504617539,862652630532330,-0.2702942,0.020019531,0.11579895
android.sensor.gyroscope,1537504617561,862652650826519,-0.5238342,-0.26759338,0.34376526
android.sensor.gyroscope,1537504617581,862652671090191,-0.7198334,-1.0164795,0.64630127
android.sensor.gyroscope,1537504617602,862652691353863,-0.47802734,-2.760315,1.1373901
android.sensor.gyroscope,1537504617621,862652711617535,0.57551575,-4.544632,1.2854614
android.sensor.gyroscope,1537504617641,862652731911724,1.3883209,-2.9659119,-1.5342865
android.sensor.gyroscope,1537504617662,862652752175396,1.0357208,2.306076,-5.9583282
android.sensor.gyroscope,1537504617681,862652772439068,2.0690308,5.7341003,-7.483795
android.sensor.gyroscope,1537504617702,862652792702740,4.7950287,4.4504547,-7.4518433
android.sensor.gyroscope,1537504617723,862652812996930,6.1553802,1.3473511,-8.096313
android.sensor.gyroscope,1537504617742,862652833260601,5.4246063,-2.0061035,-8.441467
android.sensor.gyroscope,1537504617763,862652853524273,3.2962036,-4.336899,-5.8795013
android.sensor.gyroscope,1537504617782,862652873787945,0.6202698,-2.2149048,-1.1454773
android.sensor.gyroscope,1537504617804,862652894051617,-1.3749695,1.5593262,3.8016205
android.sensor.gyroscope,1537504617825,862652914345806,-2.5489044,2.895172,7.871994
android.sensor.gyroscope,1537504617845,862652934639996,-3.3105621,2.2144775,10.191071
android.sensor.gyroscope,1537504617864,862652954903668,-3.0783386,0.3076477,11.36499
android.sensor.gyroscope,1537504617884,862652975167340,-1.5209198,-1.9901276,10.833435
android.sensor.gyroscope,1537504617905,862652995461529,-0.8721771,-2.010376,5.5220184
android.sensor.gyroscope,1537504617925,862653015725201,-2.830124,0.8573303,-0.7534485
android.sensor.gyroscope,1537504617946,862653035988873,-2.6362457,4.8403473,-3.3271332
android.sensor.gyroscope,1537504617966,862653056252545,2.7230988,5.468857,-4.585205
android.sensor.gyroscope,1537504617986,862653076516217,8.66301,1.1619873,-6.109604
android.sensor.gyroscope,1537504618006,862653096810406,10.884094,-3.6444855,-7.5839233
android.sensor.gyroscope,1537504618027,862653117074078,7.9918976,-5.1763306,-7.8406525
android.sensor.gyroscope,1537504618047,862653137337750,2.4461212,-3.8319702,-6.494156
android.sensor.gyroscope,1537504618067,862653157601422,-2.2612762,-2.155243,-4.102646
android.sensor.gyroscope,1537504618087,862653177895611,-4.168106,-0.57759094,0.030578613
android.sensor.gyroscope,1537504618109,862653198159283,-3.4597015,-0.0066070557,5.1225433
android.sensor.gyroscope,1537504618127,862653218453472,-2.2772522,-0.68518066,9.305832
android.sensor.gyroscope,1537504618149,862653238747662,-2.5094757,-1.3701477,11.976456
android.sensor.gyroscope,1537504618169,862653258980816,-3.993393,-1.7003784,12.945847
android.sensor.gyroscope,1537504618189,862653279275006,-6.3103485,-1.086792,9.488007
android.sensor.gyroscope,1537504618209,862653299538678,-8.722107,0.8583832,2.0396729
android.sensor.gyroscope,1537504618229,862653319802349,-7.525818,4.7625885,-1.0538635
android.sensor.gyroscope,1537504618249,862653340066021,-0.37469482,7.177536,-1.1561279
android.sensor.gyroscope,1537504618269,862653360360211,7.728775,3.7484436,-3.757492
android.sensor.gyroscope,1537504618290,862653380623883,12.156006,-1.2934418,-6.875534
android.sensor.gyroscope,1537504618310,862653400887555,13.091309,-3.7595367,-8.504318
android.sensor.gyroscope,1537504618331,862653421151226,10.112839,-3.8064117,-8.427612
android.sensor.gyroscope,1537504618350,862653441414898,4.1846466,-1.9134369,-7.6148224
android.sensor.gyroscope,1537504618371,862653461709088,-1.9917603,-0.31233215,-6.066986
android.sensor.gyroscope,1537504618392,862653481972760,-5.757477,-0.946167,-2.813675
android.sensor.gyroscope,1537504618412,862653502266949,-4.995804,-1.8708191,2.1792145
android.sensor.gyroscope,1537504618432,862653522530621,-2.1685944,-2.0220795,6.9249725
android.sensor.gyroscope,1537504618452,862653542824810,-0.9488678,-2.0401917,10.0451355
android.sensor.gyroscope,1537504618472,862653563088482,-1.4495392,-2.890274,12.114944
android.sensor.gyroscope,1537504618493,862653583352154,-2.4945679,-3.4165192,11.08696
android.sensor.gyroscope,1537504618513,862653603615826,-3.768631,-1.135788,4.5984344
android.sensor.gyroscope,1537504618534,862653623879498,-4.7955475,3.1540375,-0.8301544
android.sensor.gyroscope,1537504618554,862653644173687,-2.323059,6.9016266,-1.8229828
android.sensor.gyroscope,1537504618574,862653664437359,3.9588013,5.644623,-3.3537598
android.sensor.gyroscope,1537504618595,862653684701031,10.301392,0.6591797,-6.4739227
android.sensor.gyroscope,1537504618614,862653704964703,13.561096,-3.1885529,-8.788742
android.sensor.gyroscope,1537504618635,862653725258892,11.711792,-4.691635,-9.500336
android.sensor.gyroscope,1537504618654,862653745522564,5.390518,-4.2942963,-8.416962
android.sensor.gyroscope,1537504618675,862653765786236,-1.8255768,-3.3376923,-6.013733
android.sensor.gyroscope,1537504618696,862653786049908,-7.2829285,-1.0526886,-4.041931
android.sensor.gyroscope,1537504618716,862653806344097,-8.787079,2.652298,-1.4213715
android.sensor.gyroscope,1537504618737,862653826638287,-5.22377,2.956955,3.346756
android.sensor.gyroscope,1537504618754,862653846901959,-0.52490234,-0.22285461,8.409958
android.sensor.gyroscope,1537504618776,862653867165631,0.99098206,-1.5192871,11.3042755
android.sensor.gyroscope,1537504618798,862653887429303,-1.0063934,-0.5051575,12.303497
android.sensor.gyroscope,1537504618817,862653907723492,-4.808319,0.27674866,12.52507
android.sensor.gyroscope,1537504618837,862653927987164,-8.346069,0.54733276,10.976181
android.sensor.gyroscope,1537504618858,862653948250836,-8.758331,0.046661377,6.456253
android.sensor.gyroscope,1537504618880,862653968514508,-6.797165,1.5263062,2.4710999
android.sensor.gyroscope,1537504618897,862653988778180,-4.984085,4.4344788,1.9022522
android.sensor.gyroscope,1537504618918,862654009072369,-2.561676,4.91066,3.378708
android.sensor.gyroscope,1537504618940,862654029336041,-0.615448,1.7361603,4.1701965
android.sensor.gyroscope,1537504618959,862654049599713,0.8290558,-2.4364777,2.0641785
android.sensor.gyroscope,1537504618980,862654069863385,1.9241486,-3.9342346,-0.5840759
android.sensor.gyroscope,1537504619000,862654090157574,1.5417175,-2.297989,-1.0229645
android.sensor.gyroscope,1537504619019,862654110451763,0.41786194,-0.098220825,-0.34439087
android.sensor.gyroscope,1537504619039,862654130715435,-0.2756195,1.3526764,-0.09938049
android.sensor.gyroscope,1537504619060,862654150979107,-0.22981262,1.2631836,-0.22721863
