Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1537504328447,862363535370341,-0.3414917,8.523712,2.6595764
android.sensor.accelerometer,1537504328464,862363555634013,-0.23376465,8.522507,3.0558167
android.sensor.accelerometer,1537504328475,862363575897685,-0.29481506,8.33815,3.2461548
android.sensor.accelerometer,1537504328495,862363596161357,-0.3403015,8.341751,3.2042542
android.sensor.accelerometer,1537504328517,862363616455546,-0.49353027,8.553635,3.1611633
android.sensor.accelerometer,1537504328537,862363636719218,-0.89456177,8.886429,3.3742523
android.sensor.accelerometer,1537504328559,862363657013408,-1.1160278,9.178528,3.934494
android.sensor.accelerometer,1537504328578,862363677277080,-1.1040497,9.261124,4.8418884
android.sensor.accelerometer,1537504328598,862363697540751,-1.0238495,9.042053,5.7157745
android.sensor.accelerometer,1537504328619,862363717834941,-1.062149,8.922348,6.1670837
android.sensor.accelerometer,1537504328639,862363738098613,-1.0908813,8.928329,6.1156006
android.sensor.accelerometer,1537504328661,862363758362285,-1.0202484,9.055222,5.5481873
android.sensor.accelerometer,1537504328681,862363778625957,-1.0633545,8.943893,4.7592926
android.sensor.accelerometer,1537504328700,862363798889628,-0.9759674,8.6601715,4.2050323
android.sensor.accelerometer,1537504328721,862363819183818,-0.75450134,8.47702,3.6292267
android.sensor.accelerometer,1537504328741,862363839447490,-0.5174713,8.29985,3.0522308
android.sensor.accelerometer,1537504328763,862363859711162,-0.46479797,8.101135,2.4381104
android.sensor.accelerometer,1537504328782,862363879974833,-0.36305237,7.906006,1.7653351
android.sensor.accelerometer,1537504328801,862363900238505,-0.10447693,7.7779083,1.2434082
android.sensor.accelerometer,1537504328823,862363920502177,0.14572144,7.60553,0.78730774
android.sensor.accelerometer,1537504328843,862363940796367,0.39352417,7.124298,0.673584
android.sensor.accelerometer,1537504328863,862363961090556,0.7011719,6.3509674,0.89146423
android.sensor.accelerometer,1537504328883,862363981354228,1.1776276,5.37294,0.7514038
android.sensor.accelerometer,1537504328904,862364001617900,1.6253357,4.2727966,0.2929077
android.sensor.accelerometer,1537504328924,862364021912089,2.1365051,3.4228668,-0.3451538
android.sensor.accelerometer,1537504328946,862364042175761,3.1887512,3.0816803,-1.0179138
android.sensor.accelerometer,1537504328964,862364062439433,3.899826,2.7153778,-1.7122345
android.sensor.accelerometer,1537504328985,862364082703105,3.9357452,1.8809967,-2.0378418
android.sensor.accelerometer,1537504329005,862364102966777,4.1033325,0.94366455,-1.374649
android.sensor.accelerometer,1537504329025,862364123260966,4.7150574,0.3487091,0.3982544
android.sensor.accelerometer,1537504329044,862364143524638,5.53627,-0.5503235,3.9919434
android.sensor.accelerometer,1537504329066,862364163788310,5.986374,-1.0614777,7.0924377
android.sensor.accelerometer,1537504329085,862364184051982,6.813568,-1.3978577,8.751617
android.sensor.accelerometer,1537504329106,862364204315654,7.4743805,-1.5558777,8.882111
android.sensor.accelerometer,1537504329126,862364224609843,8.708588,-1.5834198,9.421997
android.sensor.accelerometer,1537504329148,862364244904033,9.694992,-2.086197,11.478622
android.sensor.accelerometer,1537504329168,862364265167705,10.069687,-3.2473907,13.09111
android.sensor.accelerometer,1537504329188,862364285431376,10.552124,-4.7844696,13.164139
