Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1537504321957,862357040824729,0.6479645,-0.008743286,-0.054641724
android.sensor.gyroscope,1537504321968,862357061088401,0.880188,0.02748108,0.06466675
android.sensor.gyroscope,1537504321988,862357081382590,1.1592865,0.120162964,0.114730835
android.sensor.gyroscope,1537504322010,862357101646262,1.3979034,0.23947144,0.079589844
android.sensor.gyroscope,1537504322030,862357121940451,1.5172119,0.38861084,0.032714844
android.sensor.gyroscope,1537504322051,862357142204123,1.5704803,0.49406433,-0.025878906
android.sensor.gyroscope,1537504322071,862357162467795,1.628006,0.49513245,-0.12814331
android.sensor.gyroscope,1537504322092,862357182731467,1.5427856,0.57821655,-0.169693
android.sensor.gyroscope,1537504322111,862357202995139,1.3265381,0.69647217,-0.17288208
android.sensor.gyroscope,1537504322132,862357223289328,1.1294556,0.56970215,-0.23254395
android.sensor.gyroscope,1537504322152,862357243553000,0.9494324,0.15104675,-0.34757996
android.sensor.gyroscope,1537504322173,862357263816672,0.71188354,-0.27398682,-0.4530487
android.sensor.gyroscope,1537504322193,862357284110862,0.35714722,-0.37838745,-0.44026184
android.sensor.gyroscope,1537504322213,862357304344016,0.014129639,-0.35281372,-0.33692932
android.sensor.gyroscope,1537504322235,862357324638205,-0.26071167,-0.3986206,-0.19525146
android.sensor.gyroscope,1537504322255,862357344901877,-0.56643677,-0.33364868,-0.04824829
android.sensor.gyroscope,1537504322274,862357365196067,-0.8135834,-0.1621399,0.026321411
android.sensor.gyroscope,1537504322295,862357385459739,-0.9691162,-0.14509583,-0.001373291
android.sensor.gyroscope,1537504322316,862357405723410,-1.1683197,-0.2952881,-0.013092041
android.sensor.gyroscope,1537504322335,862357426017600,-1.5273132,-0.5690613,0.04550171
android.sensor.gyroscope,1537504322355,862357446281272,-2.0439606,-0.98664856,0.1552124
android.sensor.gyroscope,1537504322375,862357466544944,-2.4562225,-1.3871918,0.25109863
android.sensor.gyroscope,1537504322396,862357486808616,-2.6181335,-1.6204834,0.30223083
android.sensor.gyroscope,1537504322416,862357507072287,-2.8066864,-1.6130219,0.34057617
android.sensor.gyroscope,1537504322437,862357527366477,-3.3446503,-1.4074249,0.33950806
android.sensor.gyroscope,1537504322458,862357547630149,-4.0914,-1.2806549,0.12539673
android.sensor.gyroscope,1537504322477,862357567893821,-4.856262,-1.4670868,-0.28686523
android.sensor.gyroscope,1537504322498,862357588157492,-5.536957,-1.5310059,-0.58621216
android.sensor.gyroscope,1537504322518,862357608421164,-5.6253815,-1.2444458,-0.4988556
android.sensor.gyroscope,1537504322538,862357628715354,-5.19928,-1.152832,-0.15583801
android.sensor.gyroscope,1537504322560,862357649009543,-4.8786316,-1.9198151,0.060409546
android.sensor.gyroscope,1537504322579,862357669273215,-4.8626556,-3.1065216,0.079589844
android.sensor.gyroscope,1537504322598,862357689536887,-5.0693207,-3.829834,0.02418518
android.sensor.gyroscope,1537504322620,862357709800559,-5.1928864,-3.7094727,-0.1547699
android.sensor.gyroscope,1537504322639,862357730094748,-5.2248383,-3.2737732,-0.66290283
android.sensor.gyroscope,1537504322661,862357750358420,-5.3068695,-3.2609863,-1.5523987
android.sensor.gyroscope,1537504322681,862357770622092,-5.804352,-3.2982788,-2.3492126
android.sensor.gyroscope,1537504322700,862357790885764,-6.8866577,-2.700653,-2.734848
android.sensor.gyroscope,1537504322720,862357811149436,-7.8390045,-2.205307,-2.9532166
android.sensor.gyroscope,1537504322741,862357831443625,-8.388672,-2.252182,-3.1257935
android.sensor.gyroscope,1537504322761,862357851707297,-8.596405,-2.3576508,-3.1886444
android.sensor.gyroscope,1537504322782,862357871970969,-8.049927,-1.9315338,-3.0277863
android.sensor.gyroscope,1537504322802,862357892234641,-6.8824005,-1.2082214,-2.7135468
android.sensor.gyroscope,1537504322822,862357912498313,-5.8608093,-0.8588104,-2.4120636
android.sensor.gyroscope,1537504322842,862357932792502,-5.2109985,-0.91207886,-2.1553345
android.sensor.gyroscope,1537504322863,862357953086692,-4.8637238,-1.2423096,-2.0861053
android.sensor.gyroscope,1537504322883,862357973350364,-4.6975403,-1.7195587,-2.2448273
android.sensor.gyroscope,1537504322904,862357993614035,-4.741211,-2.7645721,-2.4078064
android.sensor.gyroscope,1537504322923,862358013877707,-5.1683807,-4.343292,-2.2405548
android.sensor.gyroscope,1537504322944,862358034171897,-5.828842,-5.4735413,-1.7878265
android.sensor.gyroscope,1537504322964,862358054435569,-6.508484,-5.266876,-1.3318939
android.sensor.gyroscope,1537504322983,862358074699241,-6.9463043,-3.5379639,-1.0208282
android.sensor.gyroscope,1537504323005,862358094962912,-6.956955,-1.1911774,-0.856781
android.sensor.gyroscope,1537504323025,862358115226584,-6.36467,0.22668457,-0.856781
android.sensor.gyroscope,1537504323045,862358135520774,-5.2908936,0.32894897,-0.9792938
android.sensor.gyroscope,1537504323065,862358155784446,-4.087143,-0.6958313,-1.159317
android.sensor.gyroscope,1537504323085,862358176048117,-3.1560974,-2.010376,-1.3936768
android.sensor.gyroscope,1537504323106,862358196311789,-2.5691376,-2.5355377,-1.6738434
android.sensor.gyroscope,1537504323127,862358216605979,-1.9662018,-2.425827,-1.8261719
android.sensor.gyroscope,1537504323145,862358236900168,-1.1768341,-2.429016,-1.7047272
android.sensor.gyroscope,1537504323165,862358257163840,-0.62184143,-2.5291595,-1.5257721
android.sensor.gyroscope,1537504323186,862358277427512,-1.0447388,-1.70784,-1.8964844
android.sensor.gyroscope,1537504323207,862358297691184,-2.1366425,-0.09396362,-2.907425
android.sensor.gyroscope,1537504323227,862358317954856,-1.3589935,0.39393616,-3.2514954
android.sensor.gyroscope,1537504323248,862358338249045,1.6205444,-0.7757263,-2.3705292
android.sensor.gyroscope,1537504323268,862358358512717,3.9257812,-0.51686096,-1.288208
android.sensor.gyroscope,1537504323289,862358378776389,4.60968,1.365448,-0.6266937
android.sensor.gyroscope,1537504323308,862358399040061,5.024063,2.4253998,-0.27088928
android.sensor.gyroscope,1537504323330,862358419303733,6.03714,2.4722595,0.028457642
android.sensor.gyroscope,1537504323349,862358439567405,6.9724426,2.4360504,0.036972046
android.sensor.gyroscope,1537504323368,862358459861594,7.0363464,3.180664,0.009277344
android.sensor.gyroscope,1537504323387,862358480125266,6.993744,3.864563,0.47799683
android.sensor.gyroscope,1537504323407,862358500419455,7.376175,4.6379395,1.2226105
android.sensor.gyroscope,1537504323428,862358520683127,8.014267,5.9418335,2.2623138
android.sensor.gyroscope,1537504323449,862358540977317,8.654495,7.796463,3.779251
android.sensor.gyroscope,1537504323469,862358561240989,7.966324,9.888641,4.4897766
android.sensor.gyroscope,1537504323489,862358581504660,7.379364,10.030319,4.6144104
android.sensor.gyroscope,1537504323510,862358601768332,8.681122,8.304581,5.0021667
android.sensor.gyroscope,1537504323530,862358622032004,10.667831,6.412674,4.7443695
android.sensor.gyroscope,1537504323552,862358642326194,11.776779,4.592148,2.3400726
android.sensor.gyroscope,1537504323572,862358662589866,11.560532,3.7100983,0.16799927
android.sensor.gyroscope,1537504323593,862358682853537,10.145859,4.8414154,0.31288147
android.sensor.gyroscope,1537504323612,862358703117209,8.28804,5.996155,1.595459
android.sensor.gyroscope,1537504323634,862358723380881,6.912781,5.9609985,1.9374084
android.sensor.gyroscope,1537504323653,862358743675071,6.4792175,4.852066,0.9264679
android.sensor.gyroscope,1537504323673,862358763938742,6.200119,3.8027802,0.23831177
android.sensor.gyroscope,1537504323694,862358784232932,5.673874,3.5023804,0.34909058
android.sensor.gyroscope,1537504323714,862358804496604,5.016617,3.8283386,0.75177
android.sensor.gyroscope,1537504323735,862358824760276,4.861084,3.2616272,1.339798
android.sensor.gyroscope,1537504323754,862358845054465,5.1114197,1.9641266,1.2779999
android.sensor.gyroscope,1537504323774,862358865318137,4.8419037,1.5092621,0.6750641
android.sensor.gyroscope,1537504323794,862358885581809,4.1377716,1.6541443,0.32460022
android.sensor.gyroscope,1537504323815,862358905845481,3.3377533,1.6967468,0.3789215
android.sensor.gyroscope,1537504323835,862358926109153,2.71138,1.3761139,0.40875244
android.sensor.gyroscope,1537504323854,862358946403342,2.3353424,0.8370819,0.24256897
android.sensor.gyroscope,1537504323875,862358966667014,1.963562,0.47276306,0.17225647
android.sensor.gyroscope,1537504323897,862358986930686,1.469284,0.6272278,0.3235321
android.sensor.gyroscope,1537504323916,862359007194358,1.0719299,0.92762756,0.3735962
