Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1537504639823,862674917569250,6.4747925,6.9315643,1.5007782
android.sensor.accelerometer,1537504639837,862674937863439,6.6004944,6.878891,1.4169922
android.sensor.accelerometer,1537504639857,862674958127111,6.60408,6.7974854,1.3619232
android.sensor.accelerometer,1537504639879,862674978421301,6.6208344,6.75679,1.4074097
android.sensor.accelerometer,1537504639899,862674998684972,6.6795044,6.7376404,1.3583221
android.sensor.accelerometer,1537504639919,862675018948644,6.808792,6.783127,1.2302399
android.sensor.accelerometer,1537504639940,862675039242834,6.85907,6.7747498,1.2936859
android.sensor.accelerometer,1537504639960,862675059506506,6.8662415,6.7747498,1.4085999
android.sensor.accelerometer,1537504639980,862675079770177,6.5729523,6.7316437,1.3248138
android.sensor.accelerometer,1537504640001,862675100033849,6.549011,6.708908,1.3236084
android.sensor.accelerometer,1537504640020,862675120328039,6.582535,6.7148895,1.2924805
android.sensor.accelerometer,1537504640041,862675140591711,6.6172485,6.8681183,1.2697449
android.sensor.accelerometer,1537504640062,862675160855383,6.6052856,7.0500793,1.246994
android.sensor.accelerometer,1537504640083,862675181119054,6.259323,7.397232,1.1967163
android.sensor.accelerometer,1537504640103,862675201382726,5.61528,8.286682,1.223053
android.sensor.accelerometer,1537504640123,862675221676916,5.578171,10.095505,1.5271149
android.sensor.accelerometer,1537504640144,862675241940588,6.121643,12.939819,1.8814545
android.sensor.accelerometer,1537504640163,862675262204260,6.0354614,17.615692,2.9576569
android.sensor.accelerometer,1537504640183,862675282498449,9.6961975,22.128754,4.4121246
android.sensor.accelerometer,1537504640204,862675302762121,19.815292,28.353683,3.6124725
android.sensor.accelerometer,1537504640223,862675323056310,30.514969,32.765,2.0873566
android.sensor.accelerometer,1537504640244,862675343319982,33.356888,31.030396,3.555008
android.sensor.accelerometer,1537504640264,862675363583654,31.971848,26.16539,8.112366
android.sensor.accelerometer,1537504640284,862675383847326,29.935577,20.025452,9.880493
android.sensor.accelerometer,1537504640306,862675404141515,28.32547,13.33844,6.702179
android.sensor.accelerometer,1537504640325,862675424405187,25.974365,6.783127,3.4783936
android.sensor.accelerometer,1537504640345,862675444668859,22.938522,1.4093323,3.357483
android.sensor.accelerometer,1537504640367,862675464932531,20.175613,-2.1903381,4.1188354
android.sensor.accelerometer,1537504640387,862675485196203,17.887955,-4.7102356,4.266083
android.sensor.accelerometer,1537504640407,862675505490392,15.579941,-6.7333374,3.515503
android.sensor.accelerometer,1537504640428,862675525754064,13.337769,-8.594833,2.570984
android.sensor.accelerometer,1537504640449,862675546017736,10.79393,-10.02298,2.4129791
android.sensor.accelerometer,1537504640468,862675566311926,7.6754913,-11.573227,2.6763306
android.sensor.accelerometer,1537504640488,862675586575597,4.2015076,-13.607101,2.2441864
android.sensor.accelerometer,1537504640509,862675606869787,0.011642456,-15.375214,0.75738525
android.sensor.accelerometer,1537504640529,862675627133459,-4.3050995,-16.463379,0.16601562
android.sensor.accelerometer,1537504640549,862675647397131,-7.003357,-17.365997,1.4720459
android.sensor.accelerometer,1537504640570,862675667660802,-7.88443,-19.010803,1.5079651
android.sensor.accelerometer,1537504640590,862675687954992,-8.887604,-21.323608,-0.09854126
android.sensor.accelerometer,1537504640611,862675708218664,-13.010422,-24.406143,-1.9432831
android.sensor.accelerometer,1537504640632,862675728482336,-17.717422,-28.337418,-2.7034302
android.sensor.accelerometer,1537504640652,862675748746008,-18.511093,-31.645004,-3.5557709
android.sensor.accelerometer,1537504640670,862675769040197,-16.630447,-35.734314,-4.7564697
android.sensor.accelerometer,1537504640692,862675789303869,-11.365601,-39.818817,-2.9261017
android.sensor.accelerometer,1537504640711,862675809567541,-0.6443634,-40.019928,1.5438843
android.sensor.accelerometer,1537504640731,862675829861730,10.395294,-39.96367,4.25531
android.sensor.accelerometer,1537504640752,862675850125402,17.203217,-40.007965,7.9364014
android.sensor.accelerometer,1537504640773,862675870419592,29.45195,-40.019928,10.987808
android.sensor.accelerometer,1537504640792,862675890683263,39.027557,-40.018738,12.6649475
android.sensor.accelerometer,1537504640813,862675910946935,39.027557,-40.019928,10.359329
android.sensor.accelerometer,1537504640835,862675931210607,38.82524,-40.019928,13.410736
android.sensor.accelerometer,1537504640852,862675951491514,39.027557,-39.09337,25.833054
android.sensor.accelerometer,1537504640874,862675971755185,39.027557,-30.40123,22.448853
android.sensor.accelerometer,1537504640893,862675992018857,39.02397,-22.84871,13.7243805
android.sensor.accelerometer,1537504640915,862676012282529,39.027557,-20.353958,11.066818
android.sensor.accelerometer,1537504640935,862676032546201,39.027557,-16.933838,18.867126
android.sensor.accelerometer,1537504640955,862676052840391,39.027557,-9.515411,27.580826
android.sensor.accelerometer,1537504640975,862676073104062,39.027557,0.80241394,22.515884
android.sensor.accelerometer,1537504640995,862676093367734,39.027557,7.083603,15.016052
android.sensor.accelerometer,1537504641016,862676113661924,38.504425,8.817001,17.098999
android.sensor.accelerometer,1537504641036,862676133956113,32.705673,7.294281,18.954514
android.sensor.accelerometer,1537504641056,862676154219785,25.173508,3.5473633,13.185684
android.sensor.accelerometer,1537504641077,862676174483457,19.03717,-1.6779785,9.887665
android.sensor.accelerometer,1537504641097,862676194747129,12.8589325,-6.3502655,11.242783
android.sensor.accelerometer,1537504641117,862676215010801,7.4983215,-8.379349,9.624313
android.sensor.accelerometer,1537504641137,862676235304990,6.4436646,-8.20697,2.3962097
android.sensor.accelerometer,1537504641160,862676255568662,9.2460785,-7.671875,1.0985565
android.sensor.accelerometer,1537504641176,862676275832334,8.964767,-8.118393,4.325943
android.sensor.accelerometer,1537504641197,862676296096006,7.614441,-8.023819,5.689438
android.sensor.accelerometer,1537504641217,862676316359678,7.3522644,-7.364212,3.8925934
