Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1537504651305,862686384380366,0.036499023,0.05731201,-0.06315613
android.sensor.gyroscope,1537504651315,862686404644038,0.03756714,0.038131714,0.0018157959
android.sensor.gyroscope,1537504651332,862686424938227,0.03543091,0.047729492,0.04336548
android.sensor.gyroscope,1537504651353,862686445232417,0.050354004,0.024291992,0.02418518
android.sensor.gyroscope,1537504651374,862686465496088,0.062072754,-0.039627075,-0.023742676
android.sensor.gyroscope,1537504651394,862686485759760,0.066329956,-0.07585144,-0.03866577
android.sensor.gyroscope,1537504651415,862686506023432,0.05140686,-0.030044556,-0.008834839
android.sensor.gyroscope,1537504651435,862686526287104,0.020523071,0.04878235,0.0018157959
android.sensor.gyroscope,1537504651456,862686546581293,0.0055999756,0.077545166,-0.03866577
android.sensor.gyroscope,1537504651475,862686566844965,0.04182434,0.03387451,-0.09085083
android.sensor.gyroscope,1537504651497,862686587108637,0.087631226,-0.0034179688,-0.10470581
android.sensor.gyroscope,1537504651517,862686607372309,0.09402466,-0.010864258,-0.094055176
android.sensor.gyroscope,1537504651537,862686627666499,0.078048706,0.028549194,-0.09831238
android.sensor.gyroscope,1537504651558,862686647930170,0.087631226,0.028549194,-0.10151672
android.sensor.gyroscope,1537504651578,862686668193842,0.11958313,-0.022583008,-0.08340454
android.sensor.gyroscope,1537504651599,862686688457514,0.15794373,-0.08757019,-0.039718628
android.sensor.gyroscope,1537504651619,862686708751704,0.19628906,-0.1429596,0.03378296
android.sensor.gyroscope,1537504651639,862686729045893,0.2069397,-0.21434021,0.12965393
android.sensor.gyroscope,1537504651659,862686749309565,0.09509277,-0.22499084,0.25003052
android.sensor.gyroscope,1537504651680,862686769573237,-0.1499176,0.01789856,0.4066162
android.sensor.gyroscope,1537504651700,862686789836909,-0.4439392,0.65385437,0.6473694
android.sensor.gyroscope,1537504651720,862686810131098,-0.7038574,1.4570618,0.720871
android.sensor.gyroscope,1537504651739,862686830394770,-0.7741699,1.8426971,0.022064209
android.sensor.gyroscope,1537504651761,862686850658442,-0.50465393,1.393158,-1.6525421
android.sensor.gyroscope,1537504651781,862686870922114,-0.18933105,0.64746094,-3.4805298
android.sensor.gyroscope,1537504651801,862686891216303,-0.45458984,0.97024536,-4.6544495
android.sensor.gyroscope,1537504651821,862686911479975,-1.492157,2.5202026,-5.4374237
android.sensor.gyroscope,1537504651841,862686931743647,-1.6263733,3.5886688,-6.386566
android.sensor.gyroscope,1537504651861,862686952007319,0.77046204,2.9431152,-7.7490387
android.sensor.gyroscope,1537504651883,862686972270991,4.0312347,2.3923645,-9.743225
android.sensor.gyroscope,1537504651901,862686992565180,6.0786743,1.5667877,-11.531799
android.sensor.gyroscope,1537504651922,862687012859370,6.4760284,-0.2217865,-12.095322
android.sensor.gyroscope,1537504651942,862687033123042,5.372406,-1.4276733,-11.285721
android.sensor.gyroscope,1537504651963,862687053386713,3.5135193,-1.4063568,-9.827377
android.sensor.gyroscope,1537504651987,862687073680903,1.9177551,-1.006897,-8.591675
android.sensor.gyroscope,1537504652005,862687093943717,0.946228,-0.55947876,-7.7075043
android.sensor.gyroscope,1537504652022,862687114207389,0.49136353,-0.20048523,-6.8638153
android.sensor.gyroscope,1537504652044,862687134471060,0.51268005,-0.292099,-6.0115967
android.sensor.gyroscope,1537504652065,862687154734732,0.93452454,-0.6734619,-5.2808228
android.sensor.gyroscope,1537504652084,862687175028922,1.4415894,-0.8311157,-4.676819
android.sensor.gyroscope,1537504652105,862687195292594,1.7185516,-0.60528564,-4.134598
android.sensor.gyroscope,1537504652126,862687215556266,1.7750092,-0.32725525,-3.5721436
android.sensor.gyroscope,1537504652146,862687235819937,1.7121582,-0.374115,-3.0789185
android.sensor.gyroscope,1537504652165,862687256114127,1.3638153,-0.45401,-2.4930267
android.sensor.gyroscope,1537504652185,862687276408316,0.8397064,-0.2644043,-1.6440125
android.sensor.gyroscope,1537504652207,862687296671988,0.27404785,0.18087769,-0.5531769
android.sensor.gyroscope,1537504652226,862687316966178,-0.44073486,0.9255066,0.79330444
android.sensor.gyroscope,1537504652246,862687337229850,-1.0394135,1.7638702,2.3059845
android.sensor.gyroscope,1537504652266,862687357493521,-1.173645,2.2272491,3.7536774
android.sensor.gyroscope,1537504652287,862687377757193,-1.15979,2.129242,5.0149536
android.sensor.gyroscope,1537504652307,862687398020865,-1.3589935,1.8235168,6.1899414
android.sensor.gyroscope,1537504652327,862687418284537,-1.7872314,1.6424255,7.3063354
android.sensor.gyroscope,1537504652349,862687438578726,-2.4434357,1.5998077,8.366272
android.sensor.gyroscope,1537504652370,862687458842398,-3.2679443,1.4943542,9.270691
android.sensor.gyroscope,1537504652390,862687479106070,-4.2693024,1.1950073,9.792664
android.sensor.gyroscope,1537504652409,862687499369742,-5.056534,0.4876709,10.109055
android.sensor.gyroscope,1537504652429,862687519663932,-4.8743744,-0.48171997,10.3945465
android.sensor.gyroscope,1537504652450,862687539897086,-4.501526,-0.8396454,10.633163
android.sensor.gyroscope,1537504652468,862687560191275,-5.1822357,0.23200989,10.70134
android.sensor.gyroscope,1537504652490,862687580454947,-5.7393646,0.549469,10.040878
android.sensor.gyroscope,1537504652510,862687600749137,-4.535614,-1.0058289,8.757233
android.sensor.gyroscope,1537504652530,862687621043326,-3.6184235,-0.9056854,7.7068787
android.sensor.gyroscope,1537504652551,862687641306998,-5.2578583,1.8192596,6.9111176
android.sensor.gyroscope,1537504652571,862687661570670,-5.6552124,1.8948975,5.9353485
android.sensor.gyroscope,1537504652591,862687681834342,-3.0943146,-1.1624146,5.599777
android.sensor.gyroscope,1537504652612,862687702128531,-2.1717987,-1.7973175,5.4218903
android.sensor.gyroscope,1537504652632,862687722392203,-2.7907104,-0.12484741,4.7592926
android.sensor.gyroscope,1537504652653,862687742655875,-2.0354462,0.10630798,3.8314514
android.sensor.gyroscope,1537504652672,862687762919547,-0.27775574,-0.8492279,2.7235718
android.sensor.gyroscope,1537504652693,862687783183219,0.7182617,-1.1720123,1.7690887
android.sensor.gyroscope,1537504652713,862687803477408,0.6287842,-0.65534973,1.2620239
android.sensor.gyroscope,1537504652733,862687823741080,0.39656067,-0.07797241,0.7783966
android.sensor.gyroscope,1537504652754,862687844035269,0.75341797,0.11483765,0.26600647
android.sensor.gyroscope,1537504652774,862687864298941,1.3766022,0.08287048,-0.1270752
android.sensor.gyroscope,1537504652794,862687884593131,1.803772,-0.16958618,-0.51483154
android.sensor.gyroscope,1537504652814,862687904856803,1.9848633,-0.5743866,-0.8226929
android.sensor.gyroscope,1537504652835,862687925120475,2.013626,-0.9003601,-1.0027313
android.sensor.gyroscope,1537504652856,862687945384146,1.628006,-0.53497314,-1.0815582
android.sensor.gyroscope,1537504652875,862687965647818,0.8109436,0.5814209,-0.997406
android.sensor.gyroscope,1537504652896,862687985942008,0.16966248,1.4581299,-0.9249573
android.sensor.gyroscope,1537504652915,862688006205680,0.21440125,1.3611908,-1.0293579
android.sensor.gyroscope,1537504652935,862688026469351,0.5659332,0.8328247,-1.2285614
android.sensor.gyroscope,1537504652954,862688046733023,0.53930664,0.7955322,-1.3148499
android.sensor.gyroscope,1537504652976,862688067027213,0.038635254,1.5209808,-1.1412048
android.sensor.gyroscope,1537504652995,862688087290885,-0.4620514,2.1729279,-0.917511
android.sensor.gyroscope,1537504653017,862688107554557,-0.32356262,2.1249847,-0.86743164
android.sensor.gyroscope,1537504653037,862688127848746,0.25595093,1.6914215,-0.9089813
